stage,epidermis,eye,fast_muscle,fin_mesenchyme,glial,immune,ionocyte,iridophores,lateral_line,mesenchyme,muscle,neural,notochord,olfactory,otic,periderm,slow_muscle,spinal_cord,vasculature,xanthophores
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.03,0,0.96,0,0
 24-34,2.45,0.6,0,0,0,0,0,0,0,0,0.79,0,0,0,0,4.2,0,3.31,0,0
 36-46,0,0.65,0,0,0,0,0,0,0,1.22,0,1.6,0,5.14,0,0.97,0,1.42,1.94,0
 48-58,6.21,0,0.86,0,5.88,0,0,0,0.51,3.15,0,2.78,1.97,0,0,0,0,3.7,0.52,0
 60-70,0.73,13.3,0,0,0,0,0,0,0,6.52,0,16.23,0,0,0,6.66,0,1.34,1.17,2.86
 72-82,0,11.53,0,1.41,4.5,0.66,1.39,0,0,5.93,1.39,36.35,0,1.41,0,0.51,0,2.82,0,0
 84-94,1.03,4.94,0,0,0,0,1.76,0,0,3.11,0,16.18,0,0,0,0.8,0.66,0,0,0
 96-106,0,1.53,0,0,0,0,0,0,0,1.41,0,15.01,0,0,0,2.8,0,0,0.7,0
108-118,3.86,3.53,0,0,0,0,0,0.48,0,4.33,0,3.76,0,0,0.51,0,0.44,0,0,0
120,0,0,0,0,0,0,0,0,0,0,7.52,50.85,0,0,0,0,0,0,0,0
