stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,65.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,7.25,115.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,3.67,0,0,0,0,12.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119.91,5.44,0,0,22.11,0,4.29,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,3.95,0,0,24.05,0,0,0,0,0,6.57,0,0,0,0,0,0,0,0,0,94.4,17.72,0,0,58.47,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,8.53,1.03,0.88,0,0.82,0,0.81,1.79,0,0,0,0,0,0,5.15,0,0,1.33,27.05,1.29,0.92,0,0,0,1,0.98,0,1.37,0.86,6.05,0,0,0,0,0
 24-34,0,0,0,0.63,0,3.7,0,0,0,0.77,0,1.08,0.69,0,0,0,0,2.52,0,0,2.66,62.64,0,0,2.26,0,0,5.52,0,0,0,0,17.63,0,0,1.77,0,0
 36-46,0,0,0,1.47,0,8.4,0,0,0,4.18,0,0,0,0,0,0,0.61,3.43,0,0,0.94,113.27,0,5.19,0,0,0,2.48,0,0,0,0,21.83,0,0,1.63,0,0
 48-58,0,0,0,0.79,0,22.05,0.58,0,1.16,3.95,0,0,0.44,0,0,0,0,4.96,0,0.39,2.18,96.99,0,0.97,0,0,0,0,0,0,0,0,19.67,0,0,0,0,0
 60-70,0,0,0,1.73,0,48.64,0,0.65,0,5.23,0,0,0,0,0,0,0.7,22.44,0,0,2.55,117.88,0,0.99,0.82,0,0,0.82,0,0,0,0,17.23,2.51,0.71,7.64,0,2.28
 72-82,0,0,0,1.42,1.31,36.79,0,0,0,0,0,0,0,0.52,0,0,0,14.06,0.94,0,1.36,97.91,0,0,0,0,0,2.19,0,0,0,0,7.97,0,0,0,0,7.89
 84-94,0,0,0,0,2.1,23.88,0,0,0,0.55,2.03,0,0,0,2.58,0,0,5.05,0,0,0,81.27,0,0,0,0,0,1.39,0,0.64,0,0,4.36,0,0,2.94,0,0
 96-106,0,0,0,1.46,0.68,20.69,0,0,0,4.3,0,0,0,0.93,0.89,0,0.75,3.22,0,0,1.52,66.69,0,2.19,0,0,0,5.91,0,0,0,0,2.75,0,1.61,0,0.68,0
108-118,0,0,0,4.2,0.49,12.37,0,0,0,4.67,0,0,0,0.46,0,0.51,0,19.26,0.44,0,0.78,56.44,0,4.14,0,0,0.89,0.86,0,0,0,0,0,0,0,0.77,0,1.72
120,0,0,0,1.24,0,6.52,0,0,0,14.81,0,0,0,0,0,0,0,9.46,0,0,0,90.19,0,1.15,0,0,0,3.22,0,0,0,0,0,0,0,0,0,0
