stage,endocrine_pancreas,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,ionocyte,lateral_line,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,presomitic_mesoderm,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,xanthophores
 14-21,1.41,1.26,1.02,1.87,0,0,0,0,0,0,0.89,0,0.96,9.52,0,0,0,0,2.11,1.78,0,4.28,0,0,0,0
 24-34,0,1.22,0,2.53,0,0,0,0,0,0,1.34,0,0.93,24.44,0,0,0,0,0,0,0.61,3.05,0,0,0,0
 36-46,0,0,0,1.56,0,0,0,0,0,0,1.81,0,0,2.87,0,0,0,0,0,0,0,2.15,0,0,0.75,4.21
 48-58,0,0,0,0.96,0,0,1.06,0,0,0,1.64,0,3.39,8.43,0,0,0.5,0,0,0,0,0,0,0,0,30.66
 60-70,0,4.18,0,15.77,0,0,1.76,0,0,0.71,10.53,0,0,3.74,0,1.43,0,1.19,0,0,0,3.91,0,0,0,40.77
 72-82,0,0,0,0,0,0,0.54,0,0,0,30.62,0.81,1.2,11.46,0,0,0,0,0,0,0,0,0,0,0,56.36
 84-94,0,0,0,8.85,0,0,4.3,0,0,0,11.19,0,0,5.69,0,0,0,0,2.1,0,0,0,0,2.4,2.1,39.88
 96-106,0,0,5.67,8.95,1.66,4.79,0,0,0,0,13.71,0,0,4.3,0,0,0,0,0.64,0,0,0,0,2.41,0,22.55
108-118,0,0,0,15.24,0.48,0,4.34,0.45,0.48,0,20.04,0,0,17.72,0.56,0,0,0,0.96,0,0,0,0.83,1.7,2.24,70.71
120,0,1.44,0,2.19,0,0,0,0,0,0,10.44,0,0,35.8,0,0,0,0,0,0,0,0,0,13.34,0,13.83
