stage,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,gut,liver,mesenchyme,mural_cell,muscle,neural,notochord,otic,pronephros,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
 14-21,4.12,0,0,0,0,0,1.47,0,0,0,0,0,0,0,1.77,0,0,0
 24-34,0,0,0,0,0,0,1.4,0,0,0.63,0,1.99,0,0,5.85,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0.56,0.68,0,3.23,0,0,0
 48-58,0,0.51,0,0,0,0.46,0.39,0.66,0,0,0,6.61,0,0,0,0,1.96,0
 60-70,0,0,0,0,1.2,0,0,1.1,0,0,66.93,0,0,0,8.88,0,0,0
 72-82,0,0,0,0.59,0,0,1.05,0,0,0.49,30.8,0,0,0,0,0,0,0.57
 84-94,0,0,0,0,0,0,0,0,0,0,3.52,0,0.81,0,0,0,0,1.26
 96-106,0,1.34,0,0,7.44,1.54,1.45,1.76,0,0,11.13,0,0,0.67,0,2.54,0,1.91
108-118,0,0,0.7,7.92,0,0,4.08,0,0,0,23.36,0,0,0,0,0,0.78,0
120,0,0,0,0,0,0,0,4.8,2.75,0,400.24,0,0,0,0,0,0,0
