stage,axial,blastomeres,endoderm,eye,fast_muscle,fin_epithelia,ionocyte,mesenchyme,muscle,neural,paraxial_mesoderm,periderm,spinal_cord
  3-4,0,55.44,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.79,24.21,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,39.12,0,0,0
 10-12,0,0,5.27,0,0,0,0,0,0,31.31,9.84,0,0
 24-34,0,0,0,0,0,0,0,0,1.17,2.18,0,0,0
 36-46,0,0,0,1,0,0,0,0,0,0,0,0,0
 48-58,0,0,0,0,1.09,7.59,5.07,0,0,2.7,0,0,0.83
 72-82,0,0,0,2.02,0,0,0,0,0,0,0,0.58,0
 84-94,0,0,0,0,0,0,0,0,0,0,0,0.81,0
108-118,0,0,0,0,0,0,0,0,0,0.97,0,0,0
120,0,0,0,0,2.29,0,0,16.05,0,0,0,0,0
