stage,axial,blastomeres,endoderm,epidermis,eye,hatching_gland,immune,mesenchyme,neural,notochord,paraxial_mesoderm,periderm,spinal_cord
  3-4,158.26,1500.29,0,0,0,0,0,0,0,0,0,47.34,0
  5-6,38.98,738.99,12.33,0,0,0,0,0,80.97,32.97,11.61,0,0
  7-9,0,0,8.04,0,0,15.11,0,0,71.06,0,56.44,0,0
 10-12,0,0,0,0,6.74,0,0,0,0,5.62,0,0,0
 24-34,0,0,0,0,0,0,0,0,0.69,0,0,0,0
 36-46,0,0,0,0,2.18,0,0,0.8,1.67,0,0,0,0
 48-58,0,0,0,0,1.31,0,0,0,0.83,0,0,0,1.61
 60-70,0,0,0,0,1.91,0,2.61,0,0,0,0,0,0
 72-82,0,0,0,0,1.96,0,0,0,5.56,0,0,0,0
 84-94,0,0,0,0.57,1.61,0,0,1.44,0,0,0,0,0
 96-106,0,0,0,1.12,0,0,0,2.84,19.43,0,0,0,0
