stage,blastomeres,epidermis,eye,neural,periderm
  5-6,13.96,0,0,0,6.16
 14-21,0,0.81,0,0,0
 84-94,0,0,1.18,0,0
108-118,0,0,0,0.95,0
120,0,0,0,11.25,0
