stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,lateral_line,mesenchyme,mucous,muscle,neural,notochord,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,65.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,78.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,96.58,0,0,7.43,0,0,0,0,0,0,0,0,31.13,0,0,0,0,0,0,8.42,275.26,0,8.18,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.65,979.22,0,19.56,0,0,0,0,0,0,0,0,0,0,0
 14-21,0.93,0,0,0,4.45,3.42,0,0,0.87,0,0,0.97,12.17,0,6.17,0,3.45,0,0,9.18,1897.97,0,0,0,0.84,2.14,7.58,25.77,43.06,170.65,0,0,0,0
 24-34,0,0,0,0,2.37,0,1.08,0.82,0,0,0.6,0,0,2.26,22.56,0,1.56,1.55,2.76,19.36,312.14,0.67,0,0,0,0,0,2.18,13.14,150.31,0,4.14,0,0
 36-46,0,0,0,0,0.63,0,0.59,0.74,0,0,1.06,0,0,0,3.58,0,4.94,0,2.41,34.19,199.46,0,0,0,0,0,0,3.89,0.88,135.19,0,0,0,0
 48-58,0,0,0,0,0,0,4.26,0,0,1.9,6.16,0,0,0,0,0,9.77,0,11.68,33.39,110.95,0,0,0,0,0,0,9.95,0,60.17,0,0,0,0
 60-70,0,0,0.57,0,0,0,8.69,4.86,0,0.76,0.58,0,0,0,0.6,0,6.08,0,3.98,7.88,55.23,0,0,1.21,0,0,0,8.02,0,49.02,0,0,0,0
 72-82,0,0,0,0,1.2,0,1.2,3.27,0,0,0.66,0,0,0,0,0,17.64,0,3.04,37.76,32.59,0,0,0,0,0,0,3.4,0,10.94,0,0,8.75,0
 84-94,0.62,0,0,0,0,0,0,4.44,0,1.95,0,0,0,0,0,0,5.82,0,0.93,23.47,43.05,0,0,0,1.34,0,0,2.03,0,51.34,1.08,0,0,0
 96-106,0,0,0,0,0,0,5,2.22,0,2.13,0,1.15,0,0,0,0,4.46,0,5.65,17.68,32.22,0,0,0,0,0,0,2.02,0,12.54,1.16,0,2.24,9.51
108-118,0,0,0,0,0.97,0,2.56,3.08,0.53,0.43,5.6,0,0,0,0,0,4.11,0,3.57,34.53,38.32,0,0,0,0,0,0,0.69,0,11.31,0,0,1.04,0
120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.64,9.56,0,3.67,17.78,57.88,0,0,0,0,0,0,0,0,9.91,0,0,0,0
