stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,vasculature,visceral_smooth_muscle,xanthophores
  3-4,205.16,3957.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79.84,0,0,0,0,0,0,0,0
  5-6,255.22,4927.58,0,0,0,0,0,0,0,0,0,32.01,0,0,0,0,0,0,0,0,0,186.73,0,0,0,110.07,44.25,0,0,0,0,0,0,0,0
  7-9,55.79,102.12,0,82.54,0,0,223.41,0,0,0,0,58.05,0,0,0,0,0,0,0,0,0,2277.26,84.36,0,0,598.28,0,0,0,0,0,0,0,0,0
 10-12,0,32.78,0,53.53,0,22.46,115.33,0,0,0,0,11.33,0,0,0,0,0,0,0,0,0,1334.23,17.33,0,0,381.23,3.1,0,3.57,37,0,0,0,0,0
 14-21,0,0,0,0.89,21.54,4.55,8.57,0,0,7.61,1.28,0,0,0,0,0,0,10.1,0,0,9.56,213.25,5,0,0.95,6.98,0,1.53,28.24,3.21,13.1,37.87,0,0,0
 24-34,0,0,0.71,0,0,0,15.53,3.01,0,4.43,0.66,0,1.23,3.75,0,0,0,20.63,0,0.82,5.28,236.77,0,1.46,2.18,0,0,0,0,0.78,1.49,53.6,0.74,0,2.08
 36-46,0,0,0,0,0.62,0,24.37,0,0,5.64,0,0,0,0,1.97,0,0,12.15,0,0,1.96,133.68,0,1.5,0,0,21.46,0,0.9,0,0,24.86,1.09,0,0
 48-58,0,0,0,0,4.85,0,33.49,0,0,11.78,0.64,0,0,0,0,0,0,11.82,0,0,3.91,81.33,0,3.99,1.15,0,0,0,0,0,0,13.84,4.11,0,0
 60-70,0,0,0,0,0,0,17.59,0,0,7.06,0,2.2,0,0,0,0.79,0,31.31,0,0,0.77,42.96,0,0,0,0,0,0,0,0,0,3.99,0.64,0,0
 72-82,0,0,0,0,4.4,0,10.34,0,1.76,3.39,0.56,0,0,0,0,0,0.74,22.36,0,1.04,2.46,9.75,0,0,0,0,1.34,0,0,0,0,0,0.63,0,0
 84-94,0,0,0,0,0,0,22.76,0,0,1.16,0,0,0,0.56,0,0,0,8.23,0,0,0,10.55,1.11,0,0,0,0,0,0,0,0,4.07,0,0,0
 96-106,0,0,1.08,0,0.64,0,2.33,0,0,1.9,0,0,0,0.83,0,0,0,8.66,0,0,0,5.7,0,0,1.01,0,1.68,0,0,0,0,0,0,0.66,0
108-118,0,0,0.75,0,0.58,0,2.58,0,1.85,0,0,0,0,0,0,1.15,0,2.94,2.13,0,2.5,6.53,0.44,0,0.74,0,0,0,0,0,0,0,1.73,0,0
120,0,0,0,0,0,0,1.75,0,12.97,5.33,0,0,0,2.29,0,0,0,3.75,0,0,5.06,13.13,0,0,0,0,1.06,0,0,0,0,2.54,0,0,0
