stage,epidermis,eye,fin_epithelia,glial,hatching_gland,mesenchyme,mucous,mural_cell,muscle,neural,notochord,otic,paraxial_mesoderm,periderm,spinal_cord,taste,vasculature,visceral_smooth_muscle
 10-12,0,0,0,0,7.72,0,0,0,0,8.56,0,0,12.23,0,0,0,0,0
 14-21,0.82,0,0,0,0,0,0,0,0,0,0.87,0,0,1.09,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,28.77,0,0,0,0,1.77,0,0,0
 36-46,0,0,0,0,1.01,1.12,0.59,0,1.77,138.58,0,0.6,0,0,6.43,0,0,0
 48-58,0,3.32,0,0.37,0,0,0,0,0,174.53,0,11.47,0,0,6.47,0,0,0
 60-70,0,5.65,0,2.4,0,0,0,0,1.45,267.96,0,8.95,0,5.04,8.14,0,0,0
 72-82,2.18,78.79,1.19,2.04,0,1.14,0,0,0,368.79,0,2.43,0,0,7.3,0,2.43,0.79
 84-94,0,75.78,0,1.31,0,4.11,0,0.6,0,167.96,0,3.95,0,1.69,7.12,0,0,1.49
 96-106,2.04,79.61,0,13.88,0,6.35,0,0,0,210.52,0,0.85,0,2.71,0,1.22,0,0
108-118,1.66,55.09,0,10.93,0,5.43,0,0,0,250.65,0,2.68,0,0,3.63,0,0,0
120,0,75.54,0,7.77,0,0,0,0,0,294.08,0,0,0,1.77,0,0,0,0
