stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,419.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,65.76,760.27,0,0,0,0,0,0,0,0,0,0,21.16,0,0,0,0,0,0,0,0,0,0,0,36.4,0,0,0,0,0,36.45,0,0,0,0,0,0,0,0,0,0,0
  7-9,23.6,7.46,22.06,0,0,0,31.44,0,0,0,0,0,22.95,0,0,0,0,0,0,0,0,0,0,0,622.56,24.83,0,0,172.56,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,4.66,9.99,0,0,0,50.42,0,0,0,0,0,4.53,0,0,0,0,0,0,0,0,0,0,0,351.42,17.37,0,0,111.34,0,0,16.13,0,18.8,0,0,0,0,0,0,0,0
 14-21,0,0,2.23,7.6,2.26,0,5.03,0,0,0,1.24,1.5,0,0,0,0,0,0,1.36,0,7.93,0,0,4.71,56.96,0.87,0,0,0.85,0,6.86,0,5.92,2.75,2.59,4.62,13.53,0,0,0,0,0
 24-34,0,0,0,2.39,0,0,21.46,0,0,0,1.51,0,0,0,0,0.76,0,0,0,1.29,17.64,0,0,2.84,135.07,2.68,0,1.46,0,1.14,10.62,0,0,0.7,1.8,1.99,32.86,0,0,10.37,0,0.77
 36-46,0,0,0,4.54,0,0,17.52,0,0,0.88,6.17,0,0,0.69,0,0,0,0.74,0,4.99,16.06,0,0,3.24,191.75,1.64,0,0,0,0,6.34,0,0,0.59,1.56,0,48.13,0,0,1.82,0,1.44
 48-58,0,0,0,3.22,0.69,0,80.68,0,0,0,6.92,0,0,0.42,0,0,2.21,2.44,0,0.82,19.85,0,0.41,3.54,190.9,0,1.32,1.53,0,0,4.51,0,0,0.54,0,0,35.74,0,0,1.69,0,0
 60-70,0,0,0,15.1,0,0,69.83,0,2.09,1.35,19.83,0,0.97,0.88,0,0.6,1.28,0,0,1.24,21.68,0,0,2.18,151.29,0,3.22,0.79,0,0,9.15,0,0,0,0,0,39.09,0,0,0.58,0,2.36
 72-82,0,0,0.75,1.32,1.86,0,39.1,0,0.92,9.39,19.15,0.66,0,0,1.11,0,0.49,0,0,0,24.18,0,1.76,3.22,144.23,0,2.26,0.88,0,0,0,0,0,1.09,0,0,16.22,0,0,9.48,0,1.11
 84-94,0,0,0,5.35,0.84,0,74.09,7.13,0,13.73,5.92,3.84,0,0,2.4,0,1.31,0,0,0,29.37,0,0,0,118.95,0,5.16,1.54,0,0,15.38,0,0,0.96,0,0,19.31,0,0,3.15,1.97,0
 96-106,0,0,0,2.8,0.84,0,53.43,0,0,0,7.1,2.45,0,0,5.26,1.46,0.74,0.65,1.45,0,17.7,0,0,2.78,123.51,0,1.17,2,0,1.82,16.88,0,0,0.67,0,0,0,0,0,2.92,0,0
108-118,0,0,0,7.67,1.72,2.86,29.29,0.42,3.89,0,14.19,0.52,0,0,3.47,0.43,0.99,3.04,1.18,0,29.62,0,3.19,0.63,102.81,0.51,3.32,0,0,0,21.97,0,0,0.47,0,0,5.15,0,2.41,1.78,1.03,0
120,0,0,0,8.99,7.35,0,50.81,6.07,1.04,1.6,28.59,0,0,0,0,0,5.88,0,0,3.24,21.34,1.56,0,4.4,195.32,11.22,6.75,16.05,0,0,27.17,0,0,2.12,0,0,0,1.27,3.24,1.1,0,0
