stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,glial,hatching_gland,mesenchyme,neural,notochord,paraxial_mesoderm,periderm,pgc,pronephros,somites,spinal_cord,taste,vasculature
  3-4,75.83,1556.39,0,0,0,0,0,0,0,0,0,0,0,100.45,0,0,0,0,0,0
  5-6,36.54,954.25,0,0,0,0,0,0,8.74,0,83.46,0,10.04,14.9,0,0,0,0,0,0
  7-9,10.8,49.74,17.54,0,0,93.72,0,0,57.45,0,763.8,62.44,210.13,0,4.58,0,0,0,0,0
 10-12,0,13.38,21.3,0,0,37.57,0,0,0,0,490.59,10.78,113.23,0,13.03,33.17,0,0,0,0
 14-21,0,0,0,0.81,0,0.82,0,0,0,0,7.84,0,0,0,0.9,0,0,0,0,0
 24-34,0,0,0,0,0,2.26,0,1.67,0,1.83,16.79,0,0,0,0,0,0.59,2.08,0,0
 36-46,0,0,0,0,0,2.68,0,0,0,0.92,10.59,0,0,0,0,0,0,2.71,0,0
 48-58,0,0,0,0,0,4.31,0,0,0,0.85,2.76,0,0,0,0,0,0,0,0,0
 60-70,0,0,0,0,0,5.05,0.78,1.31,0,1.36,7.69,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,0,0,0,0,0,0.75,0.69,0,0,0,0,0,0,0,0,0.6
 84-94,0,0,0,0,0,1.32,0,0,0,2.75,0,0,0,0,0,0,0,0,1.03,0
 96-106,0,0,0,0,0,0.94,0,0,0,0,3.73,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0,0.58,0.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0
