stage,blastomeres,endocrine_pancreas,eye,fin_epithelia,glial,liver,mesenchyme,neural,olfactory,paraxial_mesoderm,periderm,somites,spinal_cord
  3-4,71.7,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.36,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,7.5,8.28,0,0
 10-12,0,0,0,0,0,0,0,4.09,0,8.04,4.52,0,0
 14-21,0,0,0,0,0,0,0,1.01,0,0,0,0,1.82
 24-34,0,0.97,0,0,0,0,0,14.78,0,0,0.95,0.65,1.57
 36-46,0,1.92,0,0.68,0,0,0,8.27,0,0,0,0,3.96
 48-58,0,0,1.3,0,0,0,1.37,22.45,0,0,0,0,1.21
 60-70,0,0,11.11,0,1.31,0,0,39.45,0,0,0,0,0
 72-82,0,0,8.82,0,0.57,0,0.78,28.85,0,0,4.74,0,0.84
 84-94,0,0,5.62,1.51,1.14,0,0,37.95,0,0,3.69,0,0.87
 96-106,0,0,3.79,0.68,0,9.4,3.28,18.12,2.42,0,4.65,0,1.54
108-118,0,0,10.45,4.72,4.69,0,0,28.14,0,0,0,0,0
120,0,0,0,1.06,0,0,5.34,29.15,0,0,9.7,0,0
