stage,endocrine_pancreas,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,periderm,pronephros,spinal_cord,taste,vascular_smooth_muscle,vasculature,xanthophores
 14-21,0,0,0,0,0,0,0,0,0,10.6,0,0,0,0,0,0,1.28,0,0,5.9,0,0,0,0,0,14.23,0,0,0,0
 24-34,0,0,0,1.58,0,0,0,0.94,0,2.09,0,0,0,0,0,0,1.8,0,0,95.54,0,0,0,0,0,136.94,0,0,1.29,0
 36-46,0.94,0,0,7.43,0,0,0,5.96,0,0,0,0,0,0,0,0,2.07,0,1.12,277.82,0,0,0,0.61,0,176.11,0,0,0,0
 48-58,0.42,1.68,0.8,29.01,0,0,0,19.15,0,0,0.63,0,0,0,0,0,4.13,0,0.38,607.55,0,0,0,0.38,0,147.17,0,0,0,0
 60-70,0,0,0,254.42,0,0,0,75.03,0,0,0,0,0,0,0,0,8.43,0,0,926.75,0,0,0,0,0,127.57,0,0,0,1.68
 72-82,0.81,1.45,0.94,527.58,3.02,0,1.67,120.83,0,0,0,0,0.63,2.92,0,0,24.73,0,5.89,1814.06,0.66,0,0,8.5,0.49,238.12,0,0,3.93,4.53
 84-94,0.7,0.56,10.74,381.26,0,0.58,0,50.38,0,0,0,0.65,0,2.52,0,2.93,20.3,3.4,2.88,1188.48,0,0,7.38,3.57,0,107.59,0,0,0.74,0
 96-106,0,6.48,12.2,421.18,0,1,0,94.81,7.39,0,0,0,0,0,0,0,25.15,3.07,6.33,1176.05,0,0.6,4.72,8.68,1.46,102.34,0,3.85,1.95,9.99
108-118,0,7.24,5.45,436.97,0,1.41,0,94.22,0,0,1.02,0.47,0.97,0,0.7,0,16.21,0.92,3.98,1276.61,0,0,0,3.1,0,107.02,2.24,0,2,2.49
120,0,24.77,0,674.73,3.87,0,21.6,226.37,0,0,0,0,1.4,0,5.54,0,51.6,0,9.54,2461.4,0,0,3.96,4.09,0,201.95,0,0,8.83,16.83
