stage,blastomeres,epidermis,erythrocytes,eye,fin_epithelia,glial,immune,mesenchyme,muscle,neural,notochord,otic,paraxial_mesoderm,periderm,pronephros,spinal_cord,vasculature
  3-4,25.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,34.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,26.36,7.45,0,12.75,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,4.39,0,0,0,0,0,0,0
 14-21,0,1.18,0,0,0,1.71,0,0,0,5.04,0,2.66,0,2.3,0,4.83,0
 24-34,0,0,0,0,0,0,0,0.72,0.73,9.91,0,0,0,0,0,1.77,0
 36-46,0,0,0,1.63,4.2,0,0,0.67,0.87,19.03,0,0,0,0,0,3.3,0
 48-58,0,0,0,14.28,0,0,0,2.06,0,19.83,0,0,0,0,0,3.25,0
 60-70,0,0,0,256.91,0,1.81,0,1.64,0,19.37,0,0,0,0,0,0,0
 72-82,0,0.52,0,449.5,0,1.32,0,2.17,0,20.43,0,0,0,0,0,0,0
 84-94,0,2.12,0,466.75,0,4.82,0,1.75,0,4.22,0,0,0,0.72,0,0,0
 96-106,0,0,3.93,293.46,0,0,1,0,2.78,5.03,0,0,0,0,1.6,1.13,3.19
108-118,0,0,0,245.04,0,0,0,0.95,0,5.58,0,5.04,0,0,0,4.02,0
120,0,7.29,0,187.36,0,0,0,0,1.66,9.11,0,0,0,0,0,0,0
