stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,lateral_line,liver,melanocytes,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,spinal_cord,vascular_smooth_muscle,vasculature,xanthophores
  3-4,57.47,769.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,267.27,0,0,0,0,0,0,0,0
  5-6,22.65,993.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87.12,8.7,0,0,21.03,364.23,0,0,0,0,0,0,0,0
  7-9,28.96,14.23,0,129.85,0,0,62.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1561.63,58.35,0,0,639.11,27.4,7.7,0,0,0,0,0,0,0
 10-12,0,8.63,0,46.71,0,0,20.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,277.77,13.1,0,0,196.3,0,0,0,16.93,0,0,0,0,0
 14-21,0,0,0,0,8,3.05,1.93,0,0,0,0,0,0,0,0,0,0,0,18.18,0,15.61,7.14,0,0,0,1.17,14.29,0,3.06,0,0.91,2.91,0,0,0
 24-34,0,0,0,0,1.27,0,2.66,0,1.73,0,0,0,0,2.03,0,4.49,0,0,12.62,0,2.28,7.94,0,0.77,0,0,6.03,0,0,0.64,37.56,0.78,0,2.61,0
 36-46,0,0,0,0,2.79,0,0,0,0,0,0,0,0,4.26,0.81,0.67,0,3.4,4.23,0,0,22.06,12.83,0,0,0,0,0,0,0,118.77,0,0,0.87,0
 48-58,0,0,0,0,1.8,0,5.31,0.57,0,0.37,0,0,2.25,7.92,0,2.59,0,0,2.79,0,0.76,28.13,0,0,0,0,3.14,0,0,0,144.16,1.91,0,1.3,3.9
 60-70,0,0,0,0,5.2,0,6.14,1.17,0,0,0,0,0,29.77,0.58,0,0,0,2.76,0,3.64,4.18,0,0,0,14.59,0.61,0,0,0.59,55.63,0,1.03,1.74,3.9
 72-82,0,0,0,0,0,0,17.3,5.75,0,1.23,0.78,2.26,0,35.47,0.68,0,0,0,0.79,0,0.61,8.42,0,0,0,0,0,0,0,0,54.65,7.55,0,1.48,0
 84-94,0,0,0,0,0.8,0,14.21,20.14,0,0,7.43,0,0,83.5,9.04,0,1.55,2.84,8.47,0,0,27.4,0,0,0,0,0,0,0,3.32,103.28,5.17,0,3.36,0
 96-106,0,0,0.61,0,1.71,1.5,16.18,19.56,0,1.01,0,2.9,0,63.41,1.78,0.66,1.59,0,6.65,0,1.49,20.53,0,0,1.98,0,6.83,0,0,1.75,131.76,0,0,1.71,5.9
108-118,0,0,0,0,0,0,29.2,24.53,0,0,4.09,0,0,69.07,4.09,0.44,0,16.25,12.16,1.14,1.78,15.01,0,0,0,0,2.82,0,0,0,94.33,0,0,5.96,0
120,0,0,0,0,4.63,0,11.5,37.95,0,0,0,0,0,53.5,0,0,0,0,33.85,0,0,43.16,0,0,0,0,0,0,2.24,0,53.43,0,0,0,0
