stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  3-4,56.08,529.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.19,0,0,0,0,0,0,0,0
  5-6,40.27,639.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.36,7.03,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,3.96,24.42,0,12.74,0,0,0,61.32,0,0,0,0,0,7.82,0,0,0,0,0,0,0,0,0,415.96,16.37,0,0,99.83,0,0,0,0,0,0,0,0,0,0
 10-12,0,31.13,0,0,0,0,0,45.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,344.65,0,0,0,60.79,0,0,0,4.13,0,0,0,0,0,0
 14-21,0,0,0,0.81,15.51,2.42,0,8.32,0,1.22,0,6.46,0,4.04,0,0,2,0,0,0,7.97,0,9.58,211.52,0.88,0,0,6.24,0,0,14.32,0,18.24,49.57,0,0,6.17,0
 24-34,0,0,0,0,2.72,0,0,30.03,0,0.85,0.92,4.3,0.67,0,3.25,0,0,0,0,0,18.02,0.81,9.23,190.78,0,0,3.99,0,4.81,8.45,0,0,1.32,37.38,0,0,4.21,0
 36-46,0,0,0,0,4.14,0,0,29.38,0,0,0,4.07,0,0,0.69,1.06,0,0,0,0.62,14.17,1.92,1.71,126.48,0,0,0.86,0,0,1.75,0,0.94,0,17.21,0,0,2.27,0
 48-58,0,0,0,0,4.26,0,0,38.31,0,0.4,0,8.92,0,0,0,0,0,0,2.34,0,10.93,0,1.8,77.31,0,0,0.44,0,0,0,0,0,0,13.35,0,0,1.02,0
 60-70,0,0,0,0,11.19,0,0,25.03,0,0,0.7,3.15,1.59,0,0,0,0,0,1.12,2.53,21.96,0,2.14,32.5,0.83,2.33,0,0,0,4.17,0,0.68,0,1.99,0,0,5.27,0
 72-82,0,0,0,0,0.54,0,0,8.81,1.95,0,0,10.39,0.67,0,0.5,0,0.7,0,0,0,16.27,0,2.97,28.63,0,1.18,0,0,0,0.57,0,0,0,4.87,6.19,0,0.63,0
 84-94,0,0,0,0,5.8,0,1.24,8.87,0,0,0,5.31,1.29,0,0,0,1.07,2.32,0,0,20.74,0.63,0,23.62,0,0.93,0,0,0,1.91,0,0,0,2.01,1.21,1.48,0.55,3.93
 96-106,0,0,0,0,0,0,0,7.54,0,0,1.54,12.58,0,0,2.93,0,0,0,0,0,15.03,0,2.13,22.7,0,0,0,0,0,1.47,0,0.63,0,0,0,0,3.62,0
108-118,0,0,0,0.74,3.48,0,0,11.19,0,0,1.52,14.08,0,0,0,0,0,0.56,0,1.74,7.7,3.51,0.5,28.71,0,0,0.74,0,0,0,0,0,0,0,0,0,0,0.95
120,0,0,1.22,0,5.99,0,0,1.01,0,0,0,2.98,0,0,0,2.31,0,0,0,0,36.26,0,4.98,47.92,0,0,0,0,0,0,0,0,0,0,0,0,1.78,0
