stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,11.6,31.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,81.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47.72,0,0,0,20.14,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,2.39,11.92,2.63,0,0,0,0,0,5.34,1.84,0,0,0,0,0,0,0,0,0,0,39.02,0,0,0,0,0,0,1.37,0.97,1.5,36.85,0,0,0,0,0
 24-34,0,0,0.8,10.3,2.49,0,4.83,0,0,0,8.97,1.94,0,0,0,0,0,0,2.78,7.26,0,1.4,329.85,0,15.33,0,0,0,0.61,0,0,0,192.17,0,0,1.53,0,1.57
 36-46,0,0,0,0.56,7.47,0,21.84,0,0,0,9.11,0,0,0,0,0,1.17,0,0,3.46,0,0,988.29,2.01,30.26,0,0,0,3.73,0,0,0,375.64,0,0,0,0,0
 48-58,0,0,0.42,0,14.13,0,146.01,0,0,0,20.54,1.26,0,0,0,0.43,0.4,0,15.22,19.53,8.56,6.3,1416.97,0,17.78,7.74,0,0,6.49,0,0,0,360.39,0,0,3.49,0,1.27
 60-70,0,0,0,0,11.08,3.12,691.52,0,0,5.19,20.06,0,0,2.45,0,7.43,0,0,2.15,18.31,0,1.46,2034.1,4.42,16.67,0,0,0,2.39,0,0,0,376.93,0,0,0,0,0
 72-82,0,0,1.38,0,14.85,4.43,1075.95,1.07,1.39,0.77,39.84,1.68,1.47,1.71,0,0,0,0,1.29,19.06,0.51,0.98,2658.54,0,26.6,2.81,0,0.87,0.55,0,0,0,298.18,0,4,15.06,0,0
 84-94,0,0,1.05,0,4.11,0,869.18,0,0.6,1.27,40.1,4.86,0,2.96,0,1.34,0,2.67,5.63,19.97,0,2.03,2019.06,1.16,37.78,4.64,0,0,0.85,0,0,0.59,162.86,0,2.68,4.02,1.36,0
 96-106,0,0,1.98,0,10.37,9.08,728.99,0,0,0,64.19,2.27,0,2.59,0,0,0,7.05,2.39,35.07,1.02,0,1820.49,0,30.21,8.99,0,6.23,1.27,0,0,0,135.87,0.72,0,11.07,0,1.41
108-118,0,0,0.98,0,25.86,2.33,780.87,0.49,0,0,78.8,1.47,0,0.48,0,0,0,0,2.63,24.79,3.86,6.27,2536.49,5.59,18.71,3.48,0,2.83,8,0,0,0,91.89,0,0.86,3.51,0,6.35
120,0,0,0,0,19.49,1.34,901.52,11.48,1.11,0,168.69,12.28,6.79,0,5.27,0,1.12,3.61,0,28.34,16.08,4.94,4479.37,3.33,50.34,0,0,0,2.65,0,9.54,0,69.77,0,0,46.7,0,0
