stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_mesenchyme,glial,hatching_gland,heart,immune,iridophores,liver,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  3-4,86.59,1839.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68.17,0,0,0,0,0,0,0,0
  5-6,70.88,746.07,0,9.08,0,0,0,0,0,0,0,0,0,0,0,0,0,34.22,0,0,0,10.03,0,8.08,0,0,0,0,0,0,0,0
  7-9,0,0,0,16.55,0,0,0,0,0,4.94,0,0,0,0,0,0,0,96.27,19.61,0,0,55.48,0,5.34,12.44,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,5.58,0,0,5.16,0,0,0,0,0,0,0,44.08,0,0,0,6.52,0,0,3.03,0,18.88,0,0,0,0,0
 14-21,0,0,2.33,0,9.01,0.95,3.89,0,0,0,0,0.9,0,0,4.83,0,0,13.32,0,0,0,5.05,0,19.15,0,3.7,0,1.88,2.29,0,0.84,0
 24-34,0,0,0,0,2.97,1.12,1.22,0,0,0,0,5.96,0,0,3.87,0,0.64,8.55,0,0,0,0,0,7.78,0,0,0.65,1.16,0,0,6.27,0
 36-46,0,0,0,0,0.97,0,0.57,0,0,0,0,36.11,0,0,0.82,0,0,3.36,0,1.25,0,0,0,2.5,0,0,0,0,0,0,5.05,0
 48-58,0,0,0,0.43,0.97,7.2,0,0,2.63,0,0,40.41,0,0,0.38,0,0,3.24,0,0,0,0,0,1.69,0,0,0,0,0.51,0,8.1,0
 60-70,0,0,0,0,0,0,0,0,0,0,0,43.53,0,0,1.02,0,0,2.03,0,0,0,0,0,0,0,0,0,0,2.22,0,2.67,1.92
 72-82,0,0,0,0,0,7.77,0,3.1,8.46,0,0.82,48.66,0,0,3.25,0,0,9.23,0,0,0,0,0,0,0,0,0,0,1.93,1.37,6.56,0.65
 84-94,0,0,0,0,0,2.22,0,1.13,12.4,0,0.6,86.38,1.18,0,5.65,0,0,1.62,0,0,0,0,0,0,0,0,0,0,0,0,7.91,0
 96-106,0,0,0,0,0,2.22,1.59,0,8.92,0,0,76.57,0,0,0.78,0,0,15.35,0,0,0,0,0,0,0,0,0,0,2.06,0,4.03,2.37
108-118,0,0,0,0,0,9.49,0,0,12.55,0,0,76.54,0,0,8.01,0.75,0,12.8,0,0.67,1.07,0,0,0.83,0,0,0,0,0,0,6.24,2.47
120,0,0,0,0,3.41,3.93,0,0,10.66,0,0,163.56,0,3.5,0,0,0,6.72,1.8,0,0,0,7.39,0,0,0,0,0,0,0,16.34,0
