stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vasculature,xanthophores
  3-4,0,553.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.87,0,0,0,0,0,0,0,0,0
  5-6,20.98,798.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81.72,8.7,0,0,9.21,0,0,0,0,0,0,0,0,0,0
  7-9,3.82,28.63,25.61,0,0,0,76.59,0,0,0,0,0,24.59,0,0,0,0,0,0,0,0,0,0,0,791.05,15.74,0,0,329.24,0,0,0,0,0,0,0,0,0,0
 10-12,0,5.72,50.76,0,0,0,45.32,0,0,0,0,0,9.58,0,0,0,0,0,0,0,0,0,0,0,461.14,0,0,0,189,0,0,4.19,53.27,0,10.32,0,0,0,0
 14-21,0,8.65,5.72,136.31,31.28,0,20.32,0,0.95,0,11.95,5.08,2.45,0.84,0,3.85,0,0,0,1.01,49.16,0,0,26.84,257.83,10.94,2.44,17.78,32.38,11.65,0.91,143.72,29.5,5.87,101.46,98.02,0,0.9,0
 24-34,0,0,1.23,15.68,3.45,0,7.45,0,0,0,5.33,1.75,0,0,0,0,0,1.39,0,0,12.04,0,0.91,5.44,49.65,0.75,1.45,1.62,0,22.11,0,0,2.57,1.55,2.69,17.47,0,3.61,0
 36-46,0,0,0,2.79,0,0,12.93,1.91,0,0,0,0,1.6,0,0,0,0,0,0,0,4.13,2,0,2.48,18.27,0,2.88,2.94,0,41.53,0,0,5.42,0,0,5.52,0,0,7.75
 48-58,0,0,0.4,10.78,0,0,18.24,0,0,0,2.87,0.54,0,0,0,0.64,0,2.84,1.3,0,3.46,0,0,1.96,31.61,0,0.48,3.04,0,16.04,0,0,1.82,0,0,2.94,0,6.23,0
 60-70,0,0,0,16.74,2.2,0,22.9,1.01,0.79,0,0.79,2.75,1.22,0,0.95,0.67,0,1,1.93,0,4.04,0,0,0,22.57,0,0,0.59,0,27.2,0,0,1.75,0,0,1.31,0,0,3.96
 72-82,0,0,0,8.84,0.73,0,7.16,0,0,0,2.9,2.93,0,0,0,0.53,0,0,1.2,0,7.38,0,0,1.88,10.49,0,1.63,3.14,0,13.06,0,0,1.32,0,0,0,0,0,0
 84-94,0,0,0,9.09,9.48,0,6.8,0,1.31,0,1.2,1.39,1.64,0,1.27,1.45,0,0.87,0.82,0,2.8,0.6,0,0,8.96,0,0,3.56,0,18.41,0,0,0,0,0,0,0,1.21,0
 96-106,0,0,0,5.58,0,3.46,26.75,0,0,0.75,0,4.77,0,0,0,0.61,0,2.85,1.36,0,2.37,0,0,0,6.05,0,0,7.07,0,6.44,0,0,1.43,0,0,0,0,0.83,0
108-118,0,0,0,10.57,4.51,1.15,7.38,0,0.76,0,0,3.46,0,1.33,0,0,2.76,3.89,3.58,0,4.16,7.05,0,0.49,15.52,0,0.49,6.54,0,22.32,0,0,2.19,0,0,2.58,1.21,1.44,1.39
120,0,0,1.28,10.43,1.53,0,0,0,0,0,0,5.71,0,0,0,1.17,0,0,2.32,0,0,0,0,1.67,17.38,0,1.46,12.76,0,18.02,0,0,1.87,0,0,0,0,2.43,0
