stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,16.21,1569.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.1,0,0,0,0,0,0,0,0,0,0
  5-6,164.33,4035.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84.3,0,0,0,32.2,0,18.83,0,0,0,0,0,0,0,0,0,0
  7-9,49.53,164.01,200.28,0,0,0,214.69,0,0,0,0,41.71,0,0,0,0,0,0,0,0,0,0,0,3438.35,180.4,0,0,1438.91,0,7.54,0,13.28,0,0,0,0,0,0,0,0
 10-12,0,112.26,211.97,0,0,0,122.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2768.98,65.43,0,0,988.58,0,3.07,0,94.41,0,0,7.84,0,0,0,0,0
 14-21,0,0,1.88,37.39,2.26,0,4.05,0,0,6.37,0.81,0,0,0,0,0,0,0,0,11.22,0,0,5,113.32,0,0,3.37,2.8,0,3.54,23.4,0,1.26,1.92,59.09,0,0,2.08,0,0
 24-34,0,0,0.64,29.96,0,0,4.92,0,0,5.32,0,0,0,0,0,0,0,0,1.12,22.17,0,0,7.23,190.56,2.82,0,0,0,0,23.11,0,0,0,3.57,73.45,0,0,10.18,0,0.93
 36-46,0,0,0,9.7,0,0,2.71,0,0,5.09,0,0,0,0,0,0,0,0.87,0,26.23,0,0.86,8.69,152.08,1.25,0.6,0,0,0,22.02,0,3.52,0,0,125.83,0,0,35.95,0,4.93
 48-58,0,0,0,9.55,0,0,8.32,6.32,1.88,10.52,0,0,0.64,0,0,0.39,0,0,0.4,21.96,0,0.37,5.42,89.68,7.25,0,0,0,0,9.75,0,0,0,0,33.45,0,0,1.48,0,0.66
 60-70,0,0,0,9.28,0,0,0.87,9.32,0,7.33,0,0,0,0,4.02,4.42,0.6,0,0,33.98,0,0,7.08,16.92,0,0,1.81,0,0,3.83,0,0,0,0,9.94,0,0.65,6.79,0,7.18
 72-82,0,0,0,10.24,0,0,11.05,6.26,0.94,11.56,1.33,0,2.04,1.18,1.17,0,1.6,0,0,42.25,0,6.45,6.62,15.16,1.09,0,0,0,0,8.57,0,0,0,0,0,0,2.96,6.56,0,3.06
 84-94,0,0,0,24.47,0,0,3.09,2.27,0,2.24,1.19,0,0,0,0.74,0,3.67,0,0,47.91,0,5.24,3.05,12.98,1.84,0,0,0,0,17.25,0,0,0,0,7.41,1.71,0,5.16,0,2.61
 96-106,0,0,0,3.66,0,0.97,0.6,1.68,2.73,12.54,3.3,0,0,0,0,0.6,3.81,0,0,41.82,0,0.63,0,8.57,2.63,1.24,0,0,0,9.4,0,0,0,0,3.28,2.29,0,2.04,1.33,0
108-118,0,0,0,21.53,0,0,10.36,7.76,0,15.72,1.39,0,0,0,0,0,4.26,0,0,44.6,2.25,6.19,5.94,8.05,0,0.48,0.54,0,1.57,6.16,0,0,0,0,0.72,0.42,0,4.77,2.02,2.47
120,0,0,0,25.62,0,0,0,18.61,0,8.28,3.16,0,0,0,12.58,0,1.48,0,0,28.66,0,0,3.22,0,7.14,0,3.16,0,18.18,6.7,0,4.17,0,0,2.14,6.74,0,9.86,0,0
