stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,glial,gut,hatching_gland,immune,ionocyte,lateral_line,mural_cell,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pronephros,spinal_cord,taste,vasculature
  3-4,71.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.22,0,0,0,0
  5-6,35.59,0,0,0,0,0,0,0,0,0,0,0,0,6.87,0,0,0,0,0,0,0,0,0
  7-9,0,7.33,0,0,5.38,0,0,0,0,0,0,0,0,22.19,0,0,0,9.65,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,22.75,5.29,0,0,4.1,0,0,0,0,0
 24-34,0,0,0,0,0,0,1.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.49
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0.92,0,0,0,0,0,24.92,0,0,0,1.82
 48-58,0,0,0,0,0,0,0,0,0,0,0,0.77,0,9,0,0,0,0,0,0,0.56,0,1.45
 60-70,0,0,0,0,0,0,0.97,0,1.21,0,0,0,0,2.43,0,0,0,0,0,0,0,0,10.97
 72-82,0,0,0,0,0.84,0,0,0,0,0,0,0,0,6.51,0,2.67,0,0,3.43,0,0,0,17.61
 84-94,0,0,1.57,1.22,2.16,0,0,0,0,0.93,0,0,0,1.91,0,0,0,0,8.45,0,0,0,54.72
 96-106,0,0,0,0.63,0,0,0,0,0,1.01,0.78,0.65,0,0,0,1.59,0,0,10.66,0,1.95,0,48.82
108-118,0,0,5.06,4.55,0,1.11,0,0.75,0,0.44,0,0.41,0,3.27,0,0,0.43,0,9.78,0.88,0,0.42,33.46
120,0,0,0,0,0,0,0,0,0,0,0,0,0,2.47,0,12.48,0,0,2.23,0,0,0,10.78
