stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,0,6.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,6.76,7.36,0,0,0,0,0,0,0,0,0,0,0,3.56,0,0,0,0,0,0,0,0,0,0,45.84,0,0,0,13.82,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.2,0,0,0,5.68,0,3.78,0,0,0,0,0,0,0,0,0
 14-21,0,0,2.48,0,7.91,0,0,0,0,16.07,0,2.9,0,0,0,0,0,0,0,0,2.24,0,0,0,54.14,0,0,0,0,0,0,0,0,6.67,100.18,0,0,0,0,0
 24-34,0,0,3.29,1.34,3.76,0,0,0.6,0,35.88,0,0,0,0,0,0,0,0,0,0.66,12.73,0,0,9,246.94,0.83,2.41,0.69,0,2.35,0,0.61,0,2,303.51,0,0,1.32,0,0
 36-46,0,0,3.77,0,5.97,0,0,6.14,0,15.88,0,1.08,0,2.19,0,0,0,0,0,0,8.02,0,0,0,416.04,0,0,0,0,0,0,0,0,0,176.69,0,0,8.63,0,1.36
 48-58,0,0,4.05,0,12.92,0,0,24.44,0.96,11.21,0.66,10.24,0,0,0,0,0,4.36,0,0,12.03,0,0,3.43,565.77,0.63,0,0.38,0,1.33,0,0.79,0,0,69.65,0,0,2.27,0,2.83
 60-70,0,0,4.58,0,1.55,0,0,85.75,0,1.05,0,4.66,1.26,0,0,0,1.79,3.86,1.02,0.68,2.34,0,0,0,1283.32,0.63,0,0,0,0,0,0,0,0,28.98,0,1,13.42,0,3.97
 72-82,0,0,4.73,0,7.82,1.7,0,237.09,0,0,7.9,24.82,3.83,0,0.49,0,0.55,2.89,0,0,43.48,0,0,0.54,1591.67,4.45,0,0.51,0,3.9,0,0.6,0,0,23.13,0.71,1.55,14.34,0.99,0
 84-94,0,0,7.07,0,10.05,3.12,0,117.51,1.27,1.81,0,22.81,5.12,0,0,0,0,10.11,0,0,16.01,0,0,0,1092.34,0,1.72,4.37,0,1.24,0,1.07,0.63,0,10.28,0,0,0.8,0,0
 96-106,0,0,2.74,0,8.74,2.31,0,178.53,0,0.56,1.88,21.52,8.31,0,0,1.04,1.57,2.1,0,0,23.35,1.24,0,0.59,806.36,0,1.91,3.46,0,17.9,0,0,0,0,34.38,1.74,0,5.28,0.64,0
108-118,0,0,1.97,0,13.98,5.82,0,76.6,0,0,0,40.7,3.46,0,0,0,0,6.08,0,0,28.16,0,3.6,0.48,1385.02,0,0,7.86,0,5.88,0,5.12,0,0,22.82,0,1.74,2.98,0,0
120,0,0,2.14,0,2.79,3.49,5.27,83.22,0,0,0,44.71,21.01,0,0,7.7,0,3.92,0,0,1.94,0,0,0,1493.76,0,2,7.39,0,1.1,0,9.54,0,0,16.99,0,0,3.25,0,0
