stage,epidermis,eye,fast_muscle,fin_epithelia,glial,immune,iridophores,mesenchyme,muscle,neural,periderm,presomitic_mesoderm,slow_muscle,somites,visceral_smooth_muscle
 14-21,0,0,0,0,0,0,0,3.92,9.05,2.03,0,0,79.2,11.13,0
 24-34,0.95,0.67,0,0,0,0,0.7,0,0,5.23,0,0,71.58,5.46,0
 36-46,0,0,0,0,0,0,0,0,2.21,4.41,12.3,0,50.54,0,0
 48-58,1.47,0.41,0,0,0.71,0,0,0,0.51,2.43,0,0,50.41,0,0
 60-70,6.95,0,0.68,0,0,0,0,2.85,5.21,4.07,0,0,27.32,0,0
 72-82,0,6.52,4.27,0,0,0,0,2.35,0,5.89,0,0,10.18,0,0
 84-94,0.66,0,12.96,0,0,0,0,2.08,0,0,0.59,0,14.4,0,0
 96-106,0,3.1,10.81,0.75,0,0,0,5.11,0,1.97,0,0,20.91,0,3.27
108-118,0,8.76,23.17,0,0.47,0,0,3.36,1.03,1.13,0,0,10.64,0,0
120,15.87,0,11.72,0,0,1.87,0,7.35,0,0,0,1.12,6.77,0,0
