stage,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,immune,ionocyte,iridophores,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.17,0,0,0,0,0,0,0,1.5,0,0,0,0
 24-34,1.41,7.54,1.92,0,0.69,0,0.71,0,0.85,0,0,0,0,0,0,0,42.25,0,0,0,0,2.33,0,0,0,2.32,0,0,0
 36-46,0,0,0,0,2.93,1.88,0,0,0,0,0,0,0,5.18,0,0,15.73,0,0,0,0,0,0,7.13,0,1.39,0,0,0
 48-58,0,5.44,3.01,0,4.39,0.67,3.78,0,4.39,0,0,0,7.73,0.59,0,0,27.27,0,0,0,0,0,0,1.45,0,1.48,0,0,0
 60-70,0,0.9,0,0,14.69,0,0.63,2,8.49,0,0,0,0,22.56,0,0.82,62.83,1.76,0,0,0,0,0,0,0,0,0,0,0
 72-82,0,0.67,0,0,9.04,0,0,2.06,0.54,0,0,4.62,0,5.02,0,2.82,20.48,0,0.95,0,0,0,0,0,0,2.21,0,0,2.48
 84-94,0,0.58,0,0,1.86,0,0,0,0,0,0,0,0,0.8,2.92,0.93,1.05,3.1,0,0,8.41,0,0,0,0,0,0,1.23,0.81
 96-106,0,0,0,0,6,0,0,0,1.87,0,0,0,0,0,0,0,11.02,0,0,0,0.98,0,0,0,0,1.76,0,0,1.97
108-118,0,0,0,1.16,5.2,0,0,0,2.47,0,3.03,0,0,10.82,0,0,7.14,0,0,0,0.49,0,1.06,0,0,0,0.51,0,0.6
120,0,2.4,0,0,0,0,2.36,0,5.42,4.74,0,0,0,12.56,0,0,46.93,0,0,1.4,9.12,0,0,1.52,0,0,0,0,0
