stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,liver,mesenchyme,mucous,muscle,neural,notochord,olfactory,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,110.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,13.75,269.47,10.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,3.22,0,0,0,0,0,9.2,0,0,0,0,0,0,167.78,4.58,0,55.65,11.51,4.57,0,12.75,0,0,0,0,0,0,0
 10-12,0,0,3.18,0,0,11.38,0,0,0,0,0,3.83,0,0,0,0,0,0,112.31,0,0,43.21,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,1.14,0.92,0,0,0,0,0,0,0,0,0,0,0,0,4.87,0.83,0,0,1.08,0,0,0,3.66,29.31,0,0,0,0,0
 24-34,0,0,0,1.52,0,1.1,21.25,0,0,0,0,0,0,0,0,0.79,0,18.19,17.68,0,0,0,0,0,0,0,1.34,20.97,6.55,0,0,0,1
 36-46,0,0,0,0.68,0,0,25.7,0,0,1.24,0,0,0,0,0,0,0,4.08,6.72,0,0,0,2.69,0,0,0,1.49,3.06,11.58,0,0,0,0
 48-58,0,0,0,0,0,8.98,36.03,0,0,2.22,0,0,0,0,0,7.53,6.26,12.55,30.06,0,0,0,2.13,0,0,0,0.54,0,8.54,0,0,0,0
 60-70,0,0,0,0,0,8.52,8.97,0,0,0.75,0,0,0,0,0,3.48,0,6.81,14.68,0,0,0,0,0,0,0,0,0,2.82,0,0,0,0
 72-82,0,0,0,0,0,7.05,10.05,1.07,0,6.37,0.53,0,0.64,0,0,17.12,0,4.7,21.22,0,0,0,0.53,0,0,1.58,0,0,0,0,0,0.59,0
 84-94,0,0,0,0,6.72,4.88,5.4,0,0,0,0,0,2.98,0,0,3.58,0,8.22,15.42,0,0,0,1.91,0,0,0,0.68,0,0,1.53,0,0,0
 96-106,0,0,0,0,0,10.54,5.1,0,0,6.86,0.86,0,1.87,0.66,0,14.62,0,0.99,3.18,0,0.95,1.2,2.71,0,0,0,1.37,0,0,0.99,0,0,0
108-118,0,0,0,1.33,0,5.21,7.81,0,2.05,0,0,0,0.48,0,0.46,11.57,0,4.89,4.61,0.43,0,0,1.97,0,0,0,0,0,0,0,0.99,0,0
120,0,0,0,0,0,17.7,22.07,0,0,0,0,0,1.96,0,0,0,0,11.07,21.02,0,0,0,16.76,0,1.12,0,0,0,0,0,0,0,0
