stage,blastomeres,epidermis,exocrine_pancreas,eye,fin_epithelia,glial,gut,liver,mesenchyme,muscle,neural,periderm,somites,spinal_cord,vasculature
  3-4,15.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,5.06,0,0,0,0,0,0,4.05,0,0,0,0
 14-21,0,1.03,0,0,0,0,0,0,1.4,1.58,1.03,0,0,0.88,0
 24-34,0,0,0,2.23,0,0.65,0,0,5.87,0.71,22.44,0,0.7,6.45,0
 36-46,0,8.57,0,5.26,0,1.24,0,0,0,0,9.3,0,0.83,7.18,0
 48-58,0,3.83,0,2.28,0,0,0.91,0,1.27,5.76,15.59,0,0,1.1,0
 60-70,0,0.57,0,10.87,0,0,0,0,0.71,0,31.11,0,0,1.9,0
 72-82,0,3.22,0,11.44,0,3.66,0,1.54,1.55,1.18,54.32,0,0,3.8,0
 84-94,0,0,0,8.01,0,1.04,0,0,3.59,0,7.81,0,0,0.8,1.91
 96-106,0,2.48,0.84,2.91,0,0,0,0,0,0,23.09,0.76,0,1.18,0
108-118,0,0,0,9.44,0.54,0,0,0,2.4,1.67,11.92,0.62,0,0,0
120,0,3.32,0,5.16,0,0,0,0,0,14.16,11.48,0,0,0,0
