stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,18.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,8.5,0,0,0,0,0,0,0,0,16.04,0,0,0,0,0,0,0,0,0,0,0,3.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,5.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,1.38,0.89,0.86,0,0,1.02,0,0,1.22,0.85,0,0,0,0,0,0,30.86,0,0,0,0,1.09,36.51,1.79,0,0.94,0,0,0.98,0,0,6.85,0,0,3.42,0,0
 24-34,0,2.46,0,1.9,0,0,1.43,0,0,0,0,0,0,0,0,0,0,155.83,0,3.73,0,0,3.71,47.47,0,0,0,0,0,4.21,0,0.61,11.83,0,0,7,0,0
 36-46,0,0.73,0,2.38,0,0,1.71,0,0,2.24,0,0,0,0,0,0,0,177.79,0,1.7,0,0,0.68,27.94,0,0.94,0.71,0,0,3.66,0,0,4.35,0,0,16.1,0,0
 48-58,0,0,0,0,7.12,0,1.91,0.52,0,2.96,0.38,0,0,0,0,0,0,144.71,0,1.64,0,0,0.75,11.25,0,0,0,0,0,1.82,0,0,3.78,0,0,0,0,0
 60-70,0,0,0,0,0.61,8.61,2.12,0,0,0.92,0,0,0,0,0,0,0,153.62,0,2.99,0,0,0,14.1,0,0,0,0,0,2.35,0,0,9.8,0,0,0,0,4.24
 72-82,0,0.71,0,1.13,9.06,1.38,19.71,0,1.5,2.29,3.26,0,5.56,0,0.66,0.64,0,913.38,0,14.85,0,1.28,0.54,80.12,0,2.17,0,0,1.46,8.45,0,0,0.79,0,0,0,0,0
 84-94,0,1.79,0,5.08,1.89,11.57,35.43,3.82,0,7.48,4.59,0,0,3.28,1.15,0,0,3799.21,8.68,11.05,0.62,0.58,0,147.5,0,2.17,2.88,0,11.27,17.06,0,0,8.77,4.65,0,0,0,6.62
 96-106,0,2.37,0,33.14,29.33,3.54,138.83,2.21,2.85,27.49,20.25,0,0.61,9.8,1.69,1.71,3.1,6403.75,0,43.41,0.97,0,4.15,675.09,2.23,0,5.65,1.82,50.39,30.02,6.51,0,10.19,4.54,0,15,3.72,0
108-118,0,4.26,0,14.21,14.37,10.97,132.64,3.39,3.48,31.25,8.7,0,0,3.7,0.52,5.49,0.89,12608.19,0,62.61,2.54,3.03,5.34,714.8,1.68,0,1.81,0,27.36,15.01,0,0,15.65,0,2.03,2.67,0,7.27
120,0,4.75,3.17,33.18,4.27,6.7,81.23,4.24,4.1,55.9,25.41,0,0,5.79,0,0,0,6315.12,0,80,0,0,0,616.02,0,5.37,4.54,0,13.84,14.59,1.37,0,5.28,0,6.25,12.8,7.37,0
