stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature
  3-4,0,224.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,11.44,188.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,6.87,0,0,0,0,0,10.07,0,0,0,0,0,13.2,0,0,0,0,0,0,0,0,0,55.03,4.97,0,8.53,0,13.2,0,0,0,0,0,0,0
 10-12,0,0,0,32.64,0,9.56,5.2,0,0,0,0,0,13.54,0,0,0,0,0,0,0,0,0,229.39,25.98,0,73.69,0,0,0,8.6,0,0,3.51,0,0
 14-21,0,0,0,0,5.54,3.24,3.55,0,0,0,1.6,0.91,0,0,0,0,0,0,0,4.64,0,2.31,56.75,3.67,0,1.12,0,0,11.48,0.86,1.87,5.58,51.49,0,0.92
 24-34,0,0,0,0,0,1.79,6.27,0,0,0,0.68,0,0,0,0,0,0,1.27,0,13.34,0,2.71,64.65,0.73,0,0,1.96,0,0,0,0,0,19.13,0,0
 36-46,0,0,0.73,0,1.24,0,24.23,0,0,0.6,0.7,0,0,1.47,0,0,0,0,0,4.89,0,1.55,117.89,0,0,0,15.35,0,0,0,0,0,22.28,0,0.73
 48-58,0,0,0,0,0,0,24.33,0.41,0,1,7.17,0,0,0,0,0,0,0,2.6,3.88,0,0.63,87.04,0,0.64,0,8.79,0,0,0,2.17,0,21.68,0,0
 60-70,0,0,0,0,0,0,53.91,0,0,0,28.76,0,5.24,0,0,0,0,0,0,8.51,0,0,101.76,0,0,0,10.55,0,0,0,0,0,15.15,0,0
 72-82,0,0,0,0,2.56,3.16,85.83,0,2.77,0,23.1,0,0,0.87,0,0,0,0,0,8.94,0,0.57,80.53,0,0,0,5.98,0,0,0,0,0,24.09,0,0
 84-94,0,0,0,0,0,0.86,25.76,0,0,3.38,12.53,0.68,0,0,0,0,0,0,0,11.08,0,0,62.07,0,0.82,0,2.75,0,0,0,0,0,1.21,1.48,0
 96-106,0,0,0,0,1.11,5.31,54.96,0,0,3.81,19.63,0,0,0,0.56,0.91,0.58,0,0,4.69,0,0,51.3,0,3.42,0,0.64,0,0,0,0,0,11.33,0,0.64
108-118,0,0,0,0.74,0.89,0.62,33.8,0,0,0,25.67,0,0,0,0,0,0,0,0,9.7,0.56,0,72.71,0,0,0,0,0,0,0,0,0,5.87,0,0.55
120,0,0,0,0,1.21,7.45,57.22,0,0,0,57.83,0,0,0,1.47,0,2.11,0,0,10.74,0,0,181.48,0,3.73,0,2.43,0,0,0,0,0,0,0,0
