stage,blastomeres,epidermis,erythrocytes,eye,fin_mesenchyme,glial,gut,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  3-4,41.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.55,8.59,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.77,0,0,0,6.81,0,0,0,0,0,0,0,0
 14-21,0,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,1.94,0,0,0,0,0,0,0,0,0.85,4.06,0,0,0
 24-34,0,0,0,2.16,0,0.94,0.73,0,0,0,0,0,0.89,0,0,1.59,10.47,0,0,0,0,0,0,0,0,19.43,0,0,0
 36-46,0,0,0,2.02,0,0,0,0,0,0,0,0,0,0,0,0,11.33,0,0,0,0,0,0,0,0,7.46,0,0,0
 48-58,0,0,0,3.55,0,2.54,0,0,0,3.01,0.51,0,9.29,0,0,0.4,24.09,0,0,0,0,0,0,0,0,1.97,0,0,0
 60-70,0,0,0,11.78,0,5.28,0,0,0,28.54,0,0,431.41,0,0,0,54.34,0,0,0,0,11.82,0,0,0,4.93,0,0.64,0
 72-82,0,1.84,0,23.73,0,83.08,0,0,0,4.84,0,0,1293.31,1.59,0,0,92.04,1.27,1.41,0,0,12.86,0,0,0,8.99,6.17,0.62,0
 84-94,0,2.46,0.87,31.71,0,69,0,0,0,3.36,2.13,0,1482.21,0,0,10.36,67.79,3.44,0,4.92,0,26.06,0.89,0,0,0,0,4.44,0
 96-106,0,7.53,10.28,32.64,0,94.25,0,2,1.18,0.95,2.47,0,1214.22,0,0,0,55.86,1.94,0,0,0,32.49,0,0,0,1.35,2.7,0,2.72
108-118,0,13.29,0,38.68,6.41,90.02,0.83,0,0,2.19,1.22,0.43,934.41,0,7.2,0.9,66.77,0.67,0,0,0,32.89,0.65,0.89,0,1.84,0,4.46,0
120,0,17.44,0,21.03,19.12,252.38,0,3.07,0,0,0,0,1263.57,0,0,0,160.79,9.3,0,0,0,74.07,0,0,0,0,0,0,0
