stage,axial,blastomeres,endoderm,epidermis,eye,glial,hatching_gland,ionocyte,lateral_line,mesenchyme,muscle,neural,olfactory,otic,paraxial_mesoderm,periderm,vasculature
  3-4,53.9,552.63,0,0,0,0,0,0,0,0,0,0,0,0,0,11.94,0
  5-6,8.43,91.4,0,0,0,0,0,0,0,0,0,8.03,0,0,0,7.13,0
  7-9,0,0,3.5,0,0,0,0,0,0,0,0,22.24,0,0,0,0,0
 10-12,0,0,0,0,0,0,3.01,0,0,0,0,0,0,0,12.17,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,1.93,0,0,0,0,0
 24-34,0,0,0,0,2.6,0,0,0.79,0,0,0,2.37,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,1.66,0,0,0,0,0
 48-58,0,0,0,1.03,0,0,0,0.38,0,0,0,0,0,0,0,0,0
 60-70,0,0,0,1.46,1.21,1.93,0,0.86,0,0,0,0,0,0.83,0,0,0
 72-82,0,0,0,4.32,3.21,6.54,0,4.25,0,0,0,8.93,0,0,0,0,0
 84-94,0,0,0,6.79,0.71,1.69,0,3.45,0.81,0.78,0,4.22,0.73,0,0,0,0
 96-106,0,0,0,1.42,0,7.7,0,1.67,0,0,1.42,5.65,0,0,0,0,0
108-118,0,0,0,6.68,0,8.94,0,7.01,0,0,0,2.82,0,0,0,0,0.53
120,0,0,0,17.6,0,0,0,3.45,0,0,0,0,0,0,0,0,0
