stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,spinal_cord,taste,vascular_smooth_muscle,vasculature,xanthophores
  3-4,16.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,7.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,7.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.88,0,0,4.67,0,0,0,0,0,0,0,0,0
 10-12,0,0,4.97,0,15.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69.55,0,0,20.27,0,0,0,3.49,0,0,0,0,0
 14-21,0,1.05,9.48,6.55,1.08,0,1.02,0,0,0,0.98,0.92,0,0,0,0,0,0,0.96,0,0,0,17.26,0,0,0,0,0,1.15,12.15,14.08,0,0,0,0
 24-34,0,4.18,15.84,11.9,0,0,2.8,0,1.11,0,18.36,5.13,0,0,0,2.07,0,4.96,2.71,0,0,1.25,31.19,0,0,0,0,0,0,67.13,4.02,0,0,0,0
 36-46,0,0.95,0.96,33.02,0,0,0.75,0,0,0,13.8,12.1,1.06,0,0,0,0,5.84,1.4,0,0,0,20.29,0,0,0,0,0,0,45.53,4.64,0,0,0,0
 48-58,0,1.46,1.57,0.56,0,0,5.09,0,0.37,0.79,2.5,12.72,0.48,0,0,0,0,15.27,5.92,0,0,0,13.86,0,0,0,0,0,0,17.71,6.1,0,0,0,0
 60-70,0,7.83,2.79,0,0,1,4.31,0,0.61,0,13.22,102.98,1.77,0,0,0,0,14.94,14.45,0,0,0,8.97,0,0,0,2.01,0,0,8.71,1.57,0,0,0,0
 72-82,0,33.43,0.78,3.26,0,3.94,10.15,0,0,0,5.4,165.16,0,0,0,0,0,21.47,58.01,0,0,0,47.4,0.55,0.67,0,0,0,0,18.25,1.38,0,0,0,3.02
 84-94,0,26.17,1.54,6.92,0,8.2,28.11,0.79,0,1.06,4.74,298.24,1.14,0,0,0,0,82.28,59.94,0,2.35,0,26.28,0,0,0,1.68,0,0,58.76,1.86,0,0,0,0
 96-106,0,27.69,5.69,3.82,15.21,3.97,33.35,0,5.19,2.34,10,294.97,0.62,0,0.57,0,0,68.84,43.85,0,0,0.71,54.05,0,1.73,0,6.83,0,0,38.58,3.56,0,0,10.76,2.59
108-118,0,23.7,5.51,6.71,0,23.8,12.39,0,3.8,0,5.9,276.11,0.86,1.67,0,0,1.77,90.21,57.36,1.91,0,0,60.85,0,0,0,3.45,0,0,43.53,6.44,2.39,0,3.28,0
120,0,16.88,4.41,0,0,8.08,2.36,0,0,0,6.06,191.83,2.11,1.48,0,0,0,71.09,72.49,0,0,0,100.42,0,0,0,0,2.5,0,29.97,0,0,1.52,1.48,0
