stage,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,slow_muscle,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.87,0,0,1.94,23.34,0,0,0,0.97,0,2.73,0,2.88,8.69,0,0,0,0
 24-34,0,0,0,0,7.15,0,0,0,0,0,0,1.94,0,0,0,0,0,0,0,0,0,0,121.93,0.69,2.43,0,0,0,0,1.55,0,22.1,0,0.72,0,0
 36-46,0,0,0,0,7.95,0,0,0,0,0,0,0.89,0,0,0,0,0,0,0,0,0,0,320.82,0,0,0,0,2.11,0,0,0,23.96,0,5.95,0,0
 48-58,0,0,0,0,24.9,0,0.54,0,4.9,0,0.54,0.64,0,0,0,0,0,0,2.25,0,0,0.83,302.66,0,0,0,0,0.57,0,0,0,15.81,0,0.63,0,0
 60-70,0,3.94,0,0,76.04,0,0,0,3.8,0,0,0,0,0,0,0,0,0,3.26,0.88,0,0,575.99,0,0.73,8.57,0,0,0,0,0,13.89,0,1.54,0,11.7
 72-82,1.48,0.64,0.78,0,164.22,1.37,0,1.16,8.52,0,0,1.02,0,0.7,1.42,0.65,0,0,18.39,0,0,0.6,902.63,0,0,0,0,0.73,0,0,0,14.46,0,0,0.67,17.2
 84-94,0,0.69,0,0,142.68,0,0,0,9.76,0,0,0,0,0,0,0,0,0,3.78,0,0,5.08,679.89,0,0,0.69,0,5.08,0,0,0,18.1,0,0,0.77,0
 96-106,3.15,1.11,7.99,1.07,155.22,0,0,0,11.94,0,0,0,0.58,0.64,1.25,0,9.42,0,15.9,0,0,0,726.82,0,0,0,0,2.03,0,0,0,2.75,0.66,2.57,0,0
108-118,1.67,7.65,1.32,0,206.22,0,0,1.27,23.42,4.82,0,0,0,0,0,0,0.99,3.15,18.87,0,1.58,0.63,1022.32,1.92,1.17,0.43,0,0.45,0,0,0,3.97,2.28,0.99,0,0
120,3.9,18.13,8.42,0,150.42,0,0,0,57.26,0,0,0,0,0,0,0,0,0,2.51,0,5.9,4.6,1595.65,0,15.42,0,0,2.25,0,0,0,11.15,0,1.07,4.52,0
