stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,9.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,22.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.56,0,0,0,0,18.27,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,4.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69.91,5.34,0,0,42.04,0,7.16,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,17.75,0,0,30.02,0,0,0,0,0,9.93,0,0,0,0,0,0,0,0,0,0,0,189.48,13,0,0,29.98,0,7.42,0,29.62,0,0,0,0,0,0,0,0
 14-21,0,0,0,3.97,123.98,8.99,61.54,0,2.1,0,2.85,2.52,0,0,0,0,0,0,0,0,59.49,0,0,33.08,395.19,2.95,0,4.49,0,0,68.68,6.09,0,0.8,2.91,35.58,0,0,1.41,0,0
 24-34,0,0,0,1,166.17,1.91,358.4,0,3.01,0.72,18.54,0.67,0,6.95,0.83,0,0,10.81,1.6,0.92,161.13,4.06,1.6,55.21,2266.46,10.62,9.65,33.79,0,0,203.82,0,0,20.53,3.62,292.22,0,0,25.31,0,7.19
 36-46,0,0,0,0,140.26,0.71,341.56,3.06,27.61,6.07,204.09,0.58,0,4.09,2.03,0.78,0.88,7.02,0.78,3.45,207.12,1.86,0.71,52.74,3250.91,3.27,6.29,47.13,0,0.97,462.13,0,0,23.11,0,491.45,0,0.62,20.61,0,7.64
 48-58,0,0,0,0,204.8,3.36,431.71,3.91,18.92,5.55,307.1,0,1.19,0.59,6.95,16.07,8.4,18.15,7.89,6.68,252.2,0.37,4.04,54.84,3097.17,5.88,4.53,65.61,0,0,295.1,0,1.54,8.19,0,459.13,0,0,15.53,0,41.56
 60-70,0,0,0,0,172.65,0,520.37,2.94,20.15,0.84,306.16,0.64,0,1.74,0.6,11.69,24.51,11.28,5.95,17.15,349.02,1.41,8.3,25.16,2308.34,3.13,6.12,14.94,0,1.6,309.19,0,0,5.32,0,194.2,0,2.87,27.2,0,24.05
 72-82,0,0,0,0,140.11,1.74,437.6,1.78,33.14,28.59,199.68,0.65,0,2.63,1.09,4.18,30.21,11.96,0,7.31,493.43,1.88,13.11,55.11,1631.53,1.07,5.23,34.24,0,0,205.35,0,4.96,2.88,0,76.28,0.62,7.04,54.27,3.58,45.56
 84-94,1.85,0,1.16,0,161.74,5.1,378.31,0,40.24,4.67,171.68,1.57,0,0.98,0,13.74,30.51,21.35,10.67,33.39,483.79,8.06,11.65,37.89,1079.56,7.45,12.9,60.1,0,0,399.84,0,0.67,3.96,0,82.6,0.81,3.37,11.37,13.46,18.36
 96-106,0,0,0,0,145.82,2.54,247.45,1.33,31.2,3.59,119.14,0.77,0,0.61,1.13,16.28,30.31,16.33,7.11,8.48,295.02,2.58,1.76,22.01,759.98,1.87,9.46,43.72,10.66,10.01,299.1,0,1.34,2.67,0,15.5,3.69,1.85,37.61,2.35,42.52
108-118,0,0,1.03,0.74,182.71,3.96,281.12,0.42,56.34,8.22,125.47,8.35,0,1.35,2.87,23.52,71.43,28.37,0.98,30.75,360.36,1.85,15.04,34.4,1000.85,3.33,10.14,49.01,0,0,230.47,0,0,6.03,0,7.91,14.01,2.34,24.73,6.52,16.69
120,2.82,0,1.22,0,301.52,0,460.33,2.58,61.1,8.3,367.99,7.08,0,3.28,8.71,16.23,40.62,13.06,25.13,4.81,452.83,4.06,23.66,42.95,1052.31,0,2.84,65.13,0,0,228.54,0,1.14,2.83,0,15.23,19.18,15.32,49.2,11.59,10.8
