stage,blastomeres,endoderm,epidermis,erythrocytes,eye,glial,lateral_line,mesenchyme,mural_cell,muscle,neural,notochord,otic,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord
  5-6,7.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,12.49,0,0,0,0,0,0,0,0,16.71,0,0,0,0,25.61,7.77,0
 14-21,0,0.94,8.34,1.86,0,1.53,0,4.82,0,7.13,5.37,2.26,0,2.2,1.37,0,26.44,8.69
 24-34,0,0,0,0,0,0.6,0,7.84,0,2.89,3.48,0,0,0.84,0,0,1.41,4.01
 36-46,0,0,0.94,0,0,0,0,3.75,0,0.72,5.42,0,0,0,0,0,0,2.14
 48-58,0,0,4.04,0,0,0,0,2.09,0.51,0.66,1.12,0,0,0,0,0,0,0
 60-70,0,0,0,0,1.08,0.91,1.13,4.35,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,2.11,0,0,0.86,0,2.74,0,0,0.79,0,2.99,0,0,0,0,0
 84-94,0,0,0,0,2.22,0,0,7.1,0,0,0.75,0,0,0,0,0,0,2.5
 96-106,0,0,0,0,0,0,0,1.44,0,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0,0,0,0,0,0,0,3.38,0,0,0,0,0,0,0
120,0,0,0,0,0,0,0,15.46,0,0,0,0,0,0,0,0,0,0
