stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,iridophores,lateral_line,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,xanthophores
  3-4,35.31,242.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,35.51,348.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.35,0,0,0,0,0,0,0,0,0
  7-9,6.92,22.7,0,22.33,0,0,0,21.01,0,0,0,0,0,0,0,0,0,0,0,0,0,204.3,10.72,0,0,37.89,0,0,14.5,0,0,0,0,0,0,0,0
 10-12,0,5.4,0,41.02,0,0,0,32.06,0,0,0,0,0,0,0,0,0,0,0,0,0,227.59,3.39,0,0,83.22,0,0,5.95,0,0,8.15,0,0,0,0,0
 14-21,0,0,0,0.87,9.42,1.98,0,3.91,0,0,4.94,1.2,0,0,0.9,0,0,1.1,0,0,0.87,53.77,0,0,0.92,0,0,2.11,0,0.93,0,1.03,12.52,0,0,0.99,0
 24-34,0,0,0.8,2.12,6.16,0,0,13.15,0.59,0,0.92,0.67,0,0.8,2.58,0,0,6.67,1.51,0,4.36,115.14,0,0,2.87,0,0,11.1,0,0,0.6,0,17.66,0,0,17.08,0
 36-46,0,0,0,0,5.59,0,0,12.87,0,0,10.49,0,0,0,0,0,0.6,10.82,0,0,2.34,120.05,0,2.77,7.11,0,0,18.63,0,0,10.74,0,29.67,0,0,2.23,0
 48-58,0,0,0,0,5.9,0,0,16.9,0.37,1.05,26.22,0.58,0,1.42,5.54,0,0,14.37,0.65,0,2.84,32.75,0,0.85,0.54,0,0,16.3,0,0,0,0,18.02,0,0,0.61,8.91
 60-70,0,0,0,0,2.8,0,0,18.81,0.87,0,19.92,0,0,0.67,0.6,0,2.99,12.11,0,3.55,0,25.9,0,2.06,1.51,0,0,6.08,0,0,0,0,12.46,0,0,0,1.45
 72-82,0,0,1.32,0,2.15,0,0,3.85,0.51,1.35,10.67,0.63,0,1.94,0.63,0,0.72,8.44,1.6,1.91,0.53,22.08,0,3.16,0.7,0,0.84,1.76,0,0,0,0,1.29,0,0,0.73,0
 84-94,0,0,0,0,2.89,2.03,0,7.51,0.62,0.77,4.78,1.74,0,2.56,1.1,1.68,0,20.73,2.28,0.85,0.72,8.02,0,0.79,0.59,0,0,3.21,0,0,0,0,1.09,0.78,0,1.38,0
 96-106,0,0,0,0,2.02,0,0,10.21,0.56,1.24,10.07,0,1.32,3.56,1.62,0.92,0,7.75,0,1.41,0,6.45,0,1.6,3.01,0,0,8.98,0,0,0,0,2.28,0,2.29,0.94,0
108-118,0,0,0,0,5.39,1.48,0.98,9.75,0.79,2.53,12.13,0,0,3.07,0.45,0,0,14.68,0.44,0,0,7.88,0,1.47,0.43,0,0,2.63,0,0,0,0,0,1.61,0,4.34,0
120,0,0,0,1.28,8.48,0,0,10.67,1.53,0,6.17,11.66,0,4.18,0,0,0,12.45,0,0,0,15.22,0,0,0,0,0,3.12,0,0,0,0,0,1.19,0,6.07,0
