stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,glial,lateral_line,mesenchyme,neural,notochord,olfactory,otic,paraxial_mesoderm,pronephros,spinal_cord,vascular_smooth_muscle
  3-4,99.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,27.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,27.51,0,0,0,0,0,0,0
 10-12,0,0,0,0,3.63,0,0,0,119.74,5.15,0,0,10.49,4.37,0,0
 14-21,0,0,1.71,0,1.68,17.5,0,4.49,34.47,0,0,0.93,0.87,18.81,73.52,0
 24-34,0,0,0,0,0,35.32,0,2.69,18.93,0,6.37,0.71,0,1.66,31.44,0
 36-46,0,0,0,0,0,12.57,0,0,18.8,0,4.4,0,0,1.94,18.32,0
 48-58,0,0,0,0,0,10.29,0,0,27.85,0,4.57,1.64,0,0,19.13,0
 60-70,0,0,0,0,0,9.9,0,1.48,6.61,0,2.54,1.58,0,9.83,15.37,0
 72-82,0,0,0,0,0.72,18.65,0.7,1.06,4.43,0,7.21,1.87,0,0,8.42,0
 84-94,0,0,0,0,1.21,11.81,1.45,0.86,1.59,0,0.8,5.07,0,0,9.95,1.17
 96-106,0,0,0,3.61,0.81,12.69,0.61,0.7,11.67,0,10.19,4.89,0,0,8.83,0
108-118,0,0.8,0,0,0,20.61,3.02,0,9.5,0,5.5,6.61,0,0,6.59,0
120,0,0,1.16,0,11.92,0,0,0,10.96,0,0,1.51,0,0,0,0
