stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,421.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.22,0,0,0,0,0,0,0,0,0,0
  5-6,56.89,700.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,6.6,18.61,0,35.44,0,0,46.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,415.89,34.8,0,0,222.4,0,0,4.25,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,71.36,0,0,31.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,372.6,30.54,0,0,163.86,0,0,31.55,0,21.94,0,4.47,0,0,0,0,0
 14-21,0,1.28,0,0.91,41.51,2.33,0.88,0,0,0,16.01,1.75,0,0,0.9,0,0,0,13.69,0,0,8.84,62.22,5.96,3.9,1.81,9.47,0,0,2.65,17.83,6.29,5.09,89.44,0,0,0,0,0
 24-34,0,0,0,0.7,16.47,0,10.84,0,0,0,28.93,0.66,1.32,0,0,0,4.65,0,29.71,0,0.81,15.57,193.18,0.7,30.68,4.6,0,0,0,0,0,13.6,6.13,60.31,0,0,22.73,0,0
 36-46,0,0,0,0,1.49,0,106.92,0,0,2.66,22.64,1.17,2.64,0,0,0,3.35,0,40.15,0,0.86,19.09,544.71,0.58,33.19,0.61,0,0.77,8.27,0,6.58,4.17,0,84.38,0,0,32.72,0,0
 48-58,0,0,0,0,16.13,0,259.53,0,1.98,3.78,28.58,0,0,1.15,5.29,0,1.39,0,61.35,0,0,11.8,745.03,0.44,23.92,2.08,0,0.56,6.6,0,0,1.83,0,115.25,0,0,2.39,0.78,0
 60-70,0,0,0,0,10.42,0,378.86,0,9.51,3.08,26.01,0,0,0.92,0,0,4.01,0,104.98,0.62,3.95,5.03,839.28,0,27.26,0,0,0,12.19,0,0,1.64,0,117.21,0,0.6,4,0.59,0
 72-82,0,0,1.37,0,8.95,0.64,379.13,0,0.68,0.9,26.14,0,0.58,3.37,1.96,0.57,11.63,0,107.15,1.33,0.49,7.66,661.08,0.51,14.05,2.64,0,1.97,5.18,0,0,0,0,81.29,1.21,2.4,10.71,0,0
 84-94,0,0,1.29,0,11,0,344.27,0,1.36,5.51,18.8,9.28,0,15.16,1.69,2.49,11.44,0,91.5,3.42,2.88,4.28,453.48,2.33,19.8,10.5,0,4.76,15.39,0,0,3.94,0,77.67,0,10.25,7.78,2.42,0
 96-106,0,0,0,0,10.39,0,342.27,0,0,1.86,22.97,0.62,1.64,11.72,0.73,0,13.19,0,81.51,1.92,1.06,3.69,362.92,0,33.92,7.74,0,0,22.52,0,0,1.33,0,47.74,0.62,2.14,19.8,0.64,0
108-118,0,0,0,0.51,19.44,0,239.76,4.79,5.59,1.04,26.72,4.39,0,15.6,4.07,0,14.76,0.95,75.49,0,6.66,5.08,468.6,0.44,31.3,1.8,0,0.97,22.32,0,0,1.01,0,37.4,0.43,4.81,16.74,0,4.4
120,0,0,4.66,0,19.11,0,158.07,0,2.91,4.71,37.6,16.42,0,23.1,0,0,10.21,4.16,54.61,2.21,0,2,417.08,0,17.98,0,0,0,29.94,0,0,1.87,0,2.02,0,0,31.55,22.61,0
