stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,483.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.74,0,0,0,0,0,0,0,0,0,0
  5-6,73.03,939.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.99,0,0,0,12.15,0,0,0,0,0,0,0,0,0,0,0
  7-9,54.38,27.29,0,12.81,0,0,38.11,0,0,0,0,0,17.52,0,0,0,0,0,0,0,0,0,0,0,360.28,11.67,0,0,106.66,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,4.28,0,34.37,0,4.89,4.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,246.34,16.71,0,0,87.96,0,0,12.76,0,0,0,0,0,0,0,0
 14-21,0,0,1.07,2.8,44.95,7.71,14.5,0,0,0,12.42,0,0,0.93,0,1.08,0,0,0,0,18.83,0,0,12.86,269.33,9.66,0,5,7.87,1.56,25.27,2.19,1.33,21.42,88.06,0,0,0,0,0
 24-34,0,0,0,1.38,14.47,1.42,24.61,0,0,0,6.15,0,0,0.69,1.47,0.63,1.45,0.6,0,0,24.56,0,0,11.91,273.63,0,0.78,4.33,0,0,0.93,0,0,1.96,54.64,0,0,9.6,0,0
 36-46,0,0,0,0,5.69,0,33.24,0,0,0,8.87,0,0,0.92,0,0,0,0,0,1.83,24.46,0,0.71,4.13,197.04,1.47,1.02,1.13,0,1.18,0,3.86,0,0,31.65,0,0,0,0,0
 48-58,0,0,0,0,4.29,0,39.19,0,0,0.58,10.08,0,0,0,0,0,0,0.41,0,0,24.85,0.57,0.44,4,99.95,0,0,0.42,0,6.75,0,7.7,0,0,23.8,0,0,6.73,0,0
 60-70,0,0,0,0,9.05,0,23.85,0,0,0.86,6.02,0,0,0,0,0,0,0,0,0,28.38,0,0,3.66,75.58,0,0,0.91,0,0,0,9.83,1.71,0,9.95,0,0,0,0,4.43
 72-82,0,0,0,0,1.91,2.61,46.17,0,0,0.59,18.33,0,0,1.62,0,0,0,2.21,2.79,0,25.92,0,0,4.11,73.63,0,1.38,2.96,0,1.41,0,0,0,0,9.12,0,2.6,2.99,0.53,0
 84-94,0,0,0,0,2.39,0,23.07,0,0,0,12.47,1.31,0,0,1.45,0,0.66,0,0,2.16,40.39,0,1.13,1.22,30.91,0,0,2.34,0,4.75,0,1.09,0,0,5.5,3.4,1.04,1.87,1.06,0.8
 96-106,0,0,0.63,0,1.34,0,17.23,0,0,0.75,11.72,0.56,0,0,0,1.71,0,0.79,0,0,27.3,0,0.75,2.73,20.47,0,0,1.38,0,3.61,0,0,0,0,0,0,0,0,0.62,10.31
108-118,0,0,0,0,5.67,0,16.92,0.46,0.55,1.23,21.62,0,0,0,0,0,1.77,0,0.43,0,36.27,0,5.07,0.92,69.99,0,0,1.31,0,6.96,0,0,0,0,3.92,1.01,0,0,0,2.28
120,0,0,0,0,0,0,19.92,0,0,0,22.42,0,0,0,0,0,2.88,0,0,0,28.34,0,2.18,2.52,53.93,0,0,0,0,2.61,0,0,0,0,11.01,0,0,0,0,0
