stage,axial,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,glial,gut,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pronephros,spinal_cord,vasculature,visceral_smooth_muscle,xanthophores
 10-12,0,0,6.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.35,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,11.92,3.34,0.89,0,0,0,20.05,0,0,0,0,0,2,0,0,0,2.81,0,0,1.65,0,0,0,0,0,0,0
 24-34,0,0,13.72,0.85,0,0,0,0,13.62,0,0.95,0,0,0,2.87,0,0,0,18.67,0,0,1.06,0,0,2.35,3.09,0,0,0
 36-46,0,0,0.72,0,0,2.65,0,10.94,15.45,0,0,0,0,11.69,0,0,0,0,21.83,0,1.21,0,0,0,0,6.77,0,0,0
 48-58,0,0,0,0,0,2.5,0,10.92,6.11,0,0,0,0,3.8,0,0,0,0,18.67,0,0,1.85,0,0,0,12.85,0,0,0
 60-70,0,0,0,0,0,12.05,0,20.08,34.39,0,0,0,0,12.98,1.84,0,0,0,18.09,0,0,0,0,0,0,4.03,0,0,0
 72-82,0,6.7,0.56,0.59,0,2.24,2.82,10.13,125.44,1.14,0,0,0,3.06,1.07,0,0,0,22.74,0.52,0,0.9,0,0,0.86,3.23,2.09,0,0
 84-94,0,3.87,0.6,0,0,1.95,0,5.76,226.96,2.6,0,0,0,0,7.03,0,0,0,11.82,0,0,0,0,1.67,1.02,0,0.71,0,0
 96-106,0,10.43,2.02,0,19.46,9.87,0,11.95,332.25,1.82,8.38,0,0.66,11.01,9.27,0,3.35,0,58.54,0,0,0.98,0,2.29,10.62,0,0,0.69,8.67
108-118,3.02,9.48,4.62,4.28,0.59,2.6,0,5.76,399.41,5.11,0.57,0.87,0,0,11.94,0,0,1.34,41.91,0,0,0.58,4.04,5.26,1.28,0,0.82,0,0
120,0,3.99,0,1.6,0,21.77,0,26.19,347.04,4.91,0,0,0,8.44,6.3,1.16,0,0,57.23,0,0,0,0,8.58,1.74,0,0,0,0
