stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,iridophores,lateral_line,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,spinal_cord,vascular_smooth_muscle,vasculature,xanthophores
  3-4,24.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,8.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,8.45,0,0,0,0,0,0,0,6.04,0,0,0,0,0,0,0,0,0,29.14,0,0,0,5.25,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.85,0,0,0,8.04,0,0,0,0,0,0,0
 14-21,0,0,1.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.2,12.17,12.35,0,0,0,0,0,1.78,3.21,0,0,0
 24-34,0,0,0,0,5.31,0.7,0,0,0,0,0.87,0,0,0,0,5.08,0,0,3.57,74.73,2.4,0.65,0,0,0,4.69,0,14.48,0,0.74,0
 36-46,0,0,1.63,0,4.39,0,0,6.03,0,0,0,0,0,0,0,9.53,0,0,0.57,59.6,0,0,0,0,2.85,7.04,0,5.91,0,1.14,0
 48-58,0,0,0.38,0,10.71,0.47,0,2.31,0,0,0,0,0,0.49,0.54,7.57,0.81,0,0.4,35.88,1.16,1.22,7.9,0,0,3.01,0,2.13,0,2.46,0
 60-70,0,0,0.7,3.52,22.74,0,0.86,6.77,0,0,0,0,0,0,0,13.28,0,0,0,34.15,0,0,0,0,0,0,0,3.99,0,0,0
 72-82,0,0,1.06,0,6.3,0,0,10.68,0,0,0,0,0,0,0,9.57,0,0.63,0,35.28,0,1.37,0,0,0,1.72,0,3.93,0.57,1.69,0
 84-94,0,0,3.72,0,1.42,0,0,4.65,0,0,0,0,1.97,0,0,4.59,0,0,0,21.4,0,0,0,0,0,2.22,0,5.55,0,2.42,0
 96-106,0,0,3.44,0,2.02,0,1.62,6.54,0,0,0,0,0,0,0,2.27,0,0,0,2.98,0,0,0,0,0,0.82,0,0,0,1.04,0
108-118,0,0,0.62,0,0,0,0,4.45,0.98,0,0,0.65,0,0,0,2.3,0,0,2.48,5.27,0,0,0,0,0,0.45,0,0,0,0,0
120,0,0,0,1.41,6.58,0,0,4.42,0,0,0,0,0,0,0,13.73,0,0,0,71,0,0,0,0,0,3.19,0,0,0,2.95,3.28
