stage,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,0,8.18,122.87,8.89,30.24,0,0,2.38,1,5.91,2.29,0,1.79,0,0,0,1.07,30.78,2.72,0,42.31,155.53,8.55,0,2.96,2.02,123.01,30.6,6.23,0.97,31.21,29.78,0,1.07,0,0
 24-34,0,0,3.06,2.45,42.89,0.73,0,2.1,1.01,0,0,0.96,0.73,1.26,0,0,0,16.1,1.33,0,3.89,240.4,0.8,1.85,6.21,0,8.38,0,0,1.26,0,47.74,0,4.25,0,0
 36-46,0,0,15.35,2.2,59.46,1.05,0,10.12,0.72,0,0.75,0,0,0,0,6.75,0,12.84,0,0,7.01,174.18,0,1.55,0,0,1.98,0,0,0,0,19.25,0,0,0,0
 48-58,0,0,9.03,5.47,75.33,0,0,2.1,0,0,0,0,3.61,0,0,0,0,15.54,0,0.74,1.52,75.53,0,0,0,0,0,0,0,0,0,7.78,0,0,0,0.38
 60-70,0.6,0,15.32,2.78,92.09,0.71,0.86,1.55,0.95,0,0,0,0,0,1.12,0,0,30.42,0,0,0.82,107.92,0,0,5.34,0,0,0,0,0,0,0.98,0,1.92,0,0
 72-82,0,0,3.4,0,22.31,0,0,3.81,0,0,0,0,0,0.83,0,0,0,15.05,0,1.72,0.58,27.56,0,0,0.76,0,3.08,0,0,0,0,0,0,3.96,0,1.1
 84-94,0,0,4.71,3.12,27.83,0,0,9.52,0,0,0,1.65,0.92,0,0,2.4,0,23.43,0,0,2.65,14.13,0,0,0,0,0,0,0,0,0,5.53,1.37,0,0,0
 96-106,0,0,0.78,0,27.39,0,0,2.69,0,0,0,0,0,0,0,0,0,3.19,0,0.67,1.81,2,0,0,1.92,0,0.57,0,0,1.78,0,0,0,0,0,0
108-118,0,0,0,1.62,26.77,0,2.42,12.49,0,0,3.21,0.42,0,0,0,0.45,0,6.71,0,0.46,1.67,27.81,0.57,0,0,0,0,0,0,0,0,7.73,0.54,0.66,0.66,0
120,0,0,1.27,7.39,25.05,0,0,2.4,0,0,0,6.75,0,0,0,0,0,0,3.25,0,0,41.49,0,0,1.76,0,1.35,0,0,0,0,0,0,1.23,0,0
