stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,161.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.09,175.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,9.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.99,0,0,0,24.65,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,33.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,13.53,3.93,0,2.09,0,0,0,0,2.53,0,0,0,0,0,0,0,22.46,0,0,17.86,107.69,0,0,0,0,0,0,0.91,1.93,0.85,215.03,27.84,10.6,0,0,0.98,0,0
 24-34,0,0,0,6.93,2.99,0,0,2.09,0,0,2.31,1.03,2.37,2.59,2.08,0,0,0,0,0.65,18.12,0.79,0,5.45,205.58,1.31,6.17,9.06,0,0,0.62,0,0.71,2,33.63,3.31,106.45,0,0,2.56,0,0
 36-46,0,0,0,0,3.47,0,0,9.4,0,0.64,0,7.49,1.33,0,0,0,6.81,0,4.24,1.55,13.41,3.32,0.74,14.56,289.86,0.56,3.62,2.28,0,0,0,2.43,0,0.75,26.29,0,112.34,0,0,0,0,0
 48-58,0,0,0,0.4,2.44,0,0,41.19,0,0,0.79,11.22,0.41,4.87,1.07,0,0,0,2.42,0,13.53,5.59,1.62,4.55,408.16,0,2.41,18.11,0,0,1.23,0,0,0,11.6,0,102.27,0,0,2.84,0,0
 60-70,0,0,0,0,1.72,0,0,65.03,1.87,6.04,0,42.27,0,0.59,3.27,0,0.61,2.5,4.29,0,41.63,11.42,4.97,1.38,984.43,0,1.22,12.71,0,0,0.6,0,0,0.58,9.54,0,70.48,0.84,7.55,0.83,2.78,0
 72-82,0,0,3.01,0,12.01,7.91,0,155.57,2.85,0,4.49,51.97,1.54,0,5.93,3.5,0.6,0,6.95,0.55,58.96,12.23,26.3,1.42,1082.56,0.55,5.16,18.07,0,4.28,5.07,0,0,0,5.98,0,73.2,0.59,13.6,1.99,32.77,0
 84-94,0,0,1.89,0,16.37,0.65,0,119.71,0.73,0.57,1.17,35.34,7.84,5.05,7.67,0.75,0.8,0,8.01,2.64,48.78,15.13,18.83,4.06,810.57,6.99,1.52,37.94,0,1.8,5.8,0,0,0,1.47,0,50.72,2.26,4.65,3.95,47.13,0
 96-106,0,0,2.07,0,17.57,17.59,0,110.22,1.19,1.4,0,40.06,11.53,1.06,4.43,9.43,3.48,2.39,14.06,9.4,46.41,39.34,10.49,3.48,559.82,0,6.23,22.36,0,2.92,12.06,0,0,0,1.33,0,34.52,1.43,0,4.69,41.82,8.74
108-118,0,0,2.18,0.74,24.65,2.09,1.48,93.63,1.96,1.07,0.47,46.24,9.2,0,8.16,8.45,1.64,0.87,5.28,0,55.06,40.44,16.1,2.36,925.86,0,9.78,28.25,0,10.3,15.06,0,0,0.62,3.04,0,23.8,7.19,1.18,7.65,27.95,1.42
120,0,0,11.31,0,18.47,3.13,0,135.54,18.66,1.04,0,63.79,3.99,0,2.18,21.03,1.05,0,6.96,0,82.95,19.16,13.95,4.33,1412.24,0,2.85,70.02,0,0,3.13,0,0,0,1.21,0,60.24,7.5,0,0,54.17,0
