stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,slow_muscle,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,18.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0.88,0,0,0,0.88,0,0,0.85,1.15,0,0,0,0,174.26,0,0,0,1.73,2.8,0,0,0,1.03,0,3.08,1.78,0,0,0,0,0,0,0
 24-34,0,0,1.66,0,0,0.79,0,0,0,0.69,0,0,0,0,0,522.71,3.09,0,0,0.77,23.41,0,1.54,0,0,0,8.01,111.98,0,1.17,0,0,1.05,0,0
 36-46,0,0,2.01,0,0,1.6,0,0,0,2.19,0,0,0,0,0,318.31,7.18,0,0,0,17.45,0,0,0,0,0,3.5,273.27,0,4.71,0,0,0.75,0,0
 48-58,0,0,0,0.4,0,8.53,0,0,1.52,7.13,0,0,0,0,0,168.96,4.22,0,0,0,30.87,0,0,0,0,0,0,124.31,0,3.98,0,0,1.44,0,0
 60-70,0,0,0,0,0,9.55,0,0,0,6.3,0,0,0.75,9.05,0,272.4,14.7,0,0,1.46,34.13,0,0.95,0,0,1.21,0,142.32,0,3.64,0,0,0,0,0
 72-82,0,0.61,2.96,10.89,3.89,37.21,0,0.77,6.05,4.17,0,0,0,0,0,816.28,21.11,3.53,0,0,108.8,0,0,2.52,0,1.05,2.62,206.5,0,1.11,0.97,0,5.17,0,7.98
 84-94,0,1.44,4.24,4.09,4.25,30.62,1,0.7,4.21,8.91,0,0.81,0,0,0,2353.05,19.02,0,0.87,0.93,113.41,0,0,2.43,0,0,11.88,477.25,0,3.05,2.36,0,0,3.7,1.62
 96-106,0,2.62,6.87,45.63,5.19,130.03,0.96,17.13,28.83,7.18,3.1,6.6,2.55,9.15,2.43,3541.18,57.92,0,3.47,8.95,565.71,1.7,2.07,1.88,0,0,35.02,442.54,1.11,5.19,8.14,3.24,16.36,7.48,14.2
108-118,0,0,4.24,17.53,12.17,112.58,0.47,1.23,15.29,3.54,0,5.25,0,2.49,5.31,7262.46,62.71,0,0,6.35,471.89,4.26,0.59,4.9,0,3.91,6.14,473.65,1.55,3.23,0,1.52,5.43,0,8.6
120,0,0,18.24,2.33,2.19,82.85,0,0,54.91,1.19,0,15.24,0,0,0,3312.17,46.31,0,0,1.9,290.37,0,0,0,0,0,1.05,255.43,0,11.17,0,9.46,3.24,5.27,0
