stage,epidermis,erythrocytes,eye,fin_epithelia,glial,heart,iridophores,liver,mesenchyme,mural_cell,muscle,neural,olfactory,otic,periderm,pronephros,spinal_cord,vasculature
  7-9,0,0,0,0,0,0,0,0,0,0,0,3.78,0,0,0,0,0,0
 14-21,0,0,0.86,0,0,0,0,0,0,0,0,1.27,0,0,0,0,4.34,0
 24-34,2.67,0,0,0,0.7,0,0,0,0,0,0,0,0,0,0.8,0.85,1.58,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,4.44,0,0,7.13,0,0.84,0
 48-58,0,0,0.62,0,0,0,0.39,0,1.7,0,0,3.23,0,0,0,0,0,0
 60-70,0,0,0,0,1.62,0,0,0,2.81,0,0,6.13,0,0,0.7,0,5.58,0
 72-82,1.16,0,5.64,0,6.96,1.52,0,0,4,0.81,0.84,6.42,0,0,0,0,0,0.81
 84-94,4.71,0,0,0.67,1.4,0,1.74,0,0,0,0,1.14,0,0,0,0,0,0
 96-106,0,1,1.01,0,0,0,0.6,4.34,0,0,0,0,2.08,0,1,1.12,0,0
108-118,0,0,0,0.46,0,0,1.9,0,0.89,0,0,2.12,0,1.58,0,0,0,0
120,0,0,0,0,0,0,2.11,0,0,0,0,9.78,0,0,1.14,0,0,0
