stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,pronephros,slow_muscle,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,74.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,53.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41.99,7.37,0,0,3.55,0,0,7.76,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1.13,0.84,0,1.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.11,80.73,0,1.04,0,0,0,2.61,0.9,0,0,0.85,41.81,0,0,0,0
 24-34,0,0,1.32,0,0.61,0,0,16.54,0,0,0,4.05,0,0,0,0,0,0,0,0,6.99,0,0,0,785.28,0,22.03,0,0,0,1.45,0,0,3.34,0,188.94,0,3.05,0,3.2
 36-46,0,0,0,0,0,0,0,84.99,0,0,0,25.79,0,0,0,7.08,0,0,0,0,11.55,0,0,1.25,1771.6,0.56,25,4.39,0,0,12.1,0,0,0,0,312.1,0,0,0,8.32
 48-58,0,0,1.09,0,10.93,0,0,315.28,0,4.99,0,49.41,0,0,0,0,3.58,0,0,0,30.1,0,0,6.31,2665.83,0,18.67,0,0,0,11.02,0,0,0,0,387.73,0,0.77,0,1.12
 60-70,0,0,7.47,0,3.61,0,0,779.86,0,0,0,91.25,0.63,0,0,0,17,2.61,0,0,49.61,0,0,0,3584.85,0,42.53,4.2,0,0,2.94,0,0,0,0,391.69,0.81,0,0,20.34
 72-82,0,0,3.49,0,9.33,2.6,0,1093.57,10.74,0,12.1,155.94,1.68,0,8.71,0,7.99,2.6,0,0.95,58.9,0,0.51,3.25,3923.38,0,44.92,0.75,0,0,1.46,0,0.73,0,0,315.62,0,0.5,2.04,0
 84-94,0,0,6.31,0,26.87,0,0.76,708.32,0,1.57,0,162.65,1.96,2.41,2.33,0,5.94,1.08,0,0,44.07,0,0,2.87,2586.03,0.65,24.69,1.52,0,0.83,6.24,0,0,0,0,199.33,7.09,0,2.41,9.02
 96-106,0,0,1.1,0,10.19,13.45,2.47,569.05,0,1.54,0.72,201.37,1.23,0.96,3.69,0.61,6.8,4.43,0.7,0,31.14,3.21,2.57,3.7,2489.99,0,45.71,9.57,0,1.51,14.04,0,0,0.85,0,109.07,1.89,0.59,3.35,0
108-118,0,0,4.86,0,25.64,9.22,0.51,605.76,0,0,0.73,284.84,0.95,0,3.6,0.54,6.3,0,2.29,0,39.07,0,0,1.82,2641.3,0,64.09,10.45,0,0,6.06,0,0,0,0,66.48,7.14,1.13,6.37,0
120,0,0,2.94,0,54.66,13.99,13,846.81,0,14.64,0,438.44,5.76,0,5.3,0,8.56,0,0,0,126.62,1.65,0,3.86,6043.35,0,68,27.02,0,0,6.5,0,0,1.63,0,178.23,11.46,1.35,8.42,0
