stage,axial,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vasculature,xanthophores
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.33,0,0,0,0,0,0,0,0
 14-21,0,2.34,3.61,173.51,17.68,3.27,0,0.85,0,4.92,1.98,0,0,0,1.05,29.31,1.03,0,40.58,148.49,5.54,4.57,5.39,9.62,59.96,262.51,12.66,8.54,142.47,165.71,8.6,0
 24-34,0.88,0,0.81,57.75,1.22,3.73,0,9.95,2.32,9.86,2.42,2.14,0.68,2.08,0.67,59.27,0.77,0,34.22,40.52,3.15,0.77,2.46,0,37.16,0,7.06,1.99,67.42,43.76,27.36,0
 36-46,0,0,0,18.2,0,2.76,0,0,13.26,5.73,0,3.25,0,0,0,60.99,0,0,24.3,28.46,0,0,0,0,29.31,0,1.29,0.58,0,26.64,29.72,0
 48-58,0,0,0,2.99,0,6.79,0,1.61,21.39,0.65,0,0,0.46,0,0,44.09,0,0,18.32,14.94,0,0,0,0,6.6,0,1.17,0.46,0,4.87,7.15,1.91
 60-70,0,0,0,0,0,1.39,1.33,0,1.48,0,0,0,0,0,0,11.46,1.43,0,5.44,2.72,0,0,0,0,11.28,0,0,0,0,2.08,0.96,0
 72-82,0,0,0,0,0,3.92,0,0,7.54,1.52,0,0,0,0,0,24.15,0,0,8.49,7.87,0,0,0,0,0,0,0,0,0,0,1.98,0
 84-94,0,0,0,0,0,5.76,0,0,1.39,4.56,0,0,0,0,0,11.39,0,0,3.29,9.95,0,0,0,0,0.69,0,1.18,0,0,0,0,0
 96-106,0,0,0,0,0,0,0,11,0,2.53,0,0,0,0,0,1.97,0,0,4.58,9.74,0,0,0,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0.45,1.45,0.96,0,0,2.89,0,0.85,0,0,0,0,11.69,0,1.7,2.79,0.66,0,0,0,0,0,0,6.3,0,0,0,0,0
120,0,0,0,0,0,0,0,0,34.99,0,8.04,0,0,0,0,9.79,0,0,1.83,6.02,0,0,0,0,0,0,7.19,0,0,0,0,0
