stage,axial,blastomeres,epidermis,eye,glial,iridophores,mesenchyme,muscle,neural,paraxial_mesoderm,presomitic_mesoderm,somites,spinal_cord,vasculature
  5-6,11.31,44.22,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,7.77,4.84,0,0,0,0
 10-12,0,0,0,9.79,0,0,0,0,80.63,31.59,0,0,0,0
 14-21,0,0,0.86,1.66,0,0,1.65,1.34,17.44,0,2.6,0.88,7.87,0
 24-34,0,0,0,0,0,0,0.64,0,2.81,0,0,0,0.6,0
 36-46,0,0,0,0,1.15,0,1.12,0.78,1.02,0,0,0,0,0
 48-58,0,0,0,0.68,0.41,0,1.2,0,1.61,0,0,0,0,0.38
 60-70,0,0,0,3.49,0,0,0.6,0,2.15,0,0,0,0,0
 72-82,0,0,0,1.13,0,0,0.49,0,4.15,0,0,0,0,0
 84-94,0,0,0,0,0,0,0,0,6.38,0,0,0,0,0
 96-106,0,0,0,0,0,0.76,0,0,0,0,0,0,0,0
