stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,10.66,229.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,77.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,7.55,0,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,134.07,0,0,0,13.8,0,0,0,5.68,0,0,0,0,0,0,0
 14-21,0,0,0,10.46,88.17,48.73,1.04,0,0,9.68,1.77,5.21,0,10.56,0,0,0,7.24,0,0,1.29,26.1,14.68,0,3.4,4.95,0,0,11.81,0.85,1.87,26.06,0,0,45.86,0,1.35
 24-34,0,0,1.72,3.65,15.97,9.54,6.81,0.83,0,41.3,0,4.84,0,24.49,0,2.14,0,13.51,0,0,4.19,64.91,0,1.1,6.1,0,0,6.53,0,0.99,1.45,78.6,0,0,130.21,0,20.68
 36-46,0,0,0,0,17.02,0,13.39,2.77,0,74.85,0,1.8,0,11.77,0,0,0,20.93,0,0,0,77.1,0,2.82,8.01,0,0,9.93,0,0.58,0,67.34,0,0,41.9,0,86.26
 48-58,0,0,0,0,0,0,17.21,0.39,1.04,61.38,0,1.74,0,2.22,0,0,0.39,26.57,0,0.6,0.95,60.42,0,1.57,1.15,0,0.47,0,0,0,0,48.37,0,0,27.02,0,82.8
 60-70,0,0,0,0,0,0,22.88,2.94,0,51.1,0,0,0,1.84,3.43,0,0,30.2,0,0.64,0,68.15,0,0.96,7.26,0,0,0,0,0,0,32.45,0,0,38.78,0.8,99.37
 72-82,0,0,0.71,0,3.04,1.45,117.3,0.56,5.07,60.04,0,2.58,0,3.62,0,0,0,46.67,0,1.35,0.8,94.34,0,0,4.01,0,4.65,4.06,0,0,0,29.57,0,2.81,50.03,0,78.07
 84-94,0,0,0,0,7.63,0,93.81,11.37,4.23,54.9,1.25,0,0,19.51,1.81,0.66,1.73,37.05,0,0,0.68,80.79,0,0,2.53,0,0,2.72,0,0,0,15.95,0,0,34.79,0.81,49.51
 96-106,0,0,1.1,0,9.89,0,170.35,6.49,1.69,51,5.02,3.26,0.56,18.71,0.63,1.55,5.3,41.28,1.01,0,0,67.31,0,2.49,4.97,0,0,8.63,0,0,0,31.57,0,3.41,54.57,1.13,52.37
108-118,3.02,0,0.84,0.61,8.71,1.69,152.25,2.94,10.49,64.7,3.46,0,1.74,11.49,4.54,2.01,2.66,38.09,0,1.8,0,81.17,0,3.93,11.09,0,0,1.37,0,0,0,16.22,1.35,0,18.84,0.54,69.36
120,0,0,0,0,11.24,0,169.5,0,5.4,61.83,6.22,0,0,2.56,1.92,1.07,0,12.7,0,0,0,180.94,0,10.41,8.54,0,0,0,0,0,0,5.77,0,0,21.16,3.95,17.71
