stage,eye,fast_muscle,fin_mesenchyme,glial,mesenchyme,muscle,neural,periderm,slow_muscle,somites,spinal_cord,vasculature
 14-21,0,0,0,0,0,0,0.98,0,0,1.33,0,0
 24-34,0,0.75,0,0,0,0,3.45,0,4.53,0.61,0,1.24
 36-46,0,4.99,0,0,0,1.58,0.92,0,0,0,0,0
 48-58,0.76,3.47,0,1.16,0.91,0,7.66,2.13,1.72,0,2.44,0
 60-70,1.38,9.61,0,0,0.79,0,4.81,0,1.63,0,0,0
 72-82,0,0.6,0,1.24,0,0,3.56,0,1.07,0,0,0
 84-94,2.26,3.43,0,0,1.27,0,0,0,0,0,0,0
 96-106,12.36,0,6,0,0,0.56,0.82,0,0,0,0,0
108-118,1.68,1.63,0,0,0,1.51,0,0,0.8,0,0,0
120,0,1.1,0,0,0,0,3.83,0,0,0,0,0
