stage,axial,blastomeres,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,lateral_line,mesenchyme,mural_cell,muscle,neural,paraxial_mesoderm,periderm,pronephros,spinal_cord,xanthophores
  3-4,10.67,57.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,8.29,102.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,17.15,3.81,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,9.36,0,0,5.8,5.32,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.09,0
 24-34,0,0,1.5,0,0,0,0,0,0,9.03,0,0,33.82,0,0,0,6.35,0
 36-46,0,0,1.35,0,1.54,0,0,0,0,5.28,0,0,82.68,0,0,0,8.34,0
 48-58,0,0,0,0,8.76,0,0,3.15,1.48,4.72,0,0.65,184.11,0,0,0,9.03,0
 60-70,0,0,0,0,46.75,0,0,0,0,6.94,0,1.18,287.67,0,0,0,12.22,6.15
 72-82,0,0,3.81,0,61.06,0,0,2.01,0.97,13.32,0,1.91,305.82,0,0.64,0,55.71,0
 84-94,0,0,0.64,4.14,34.6,0,8.01,1.8,1.91,7.43,0.71,10.98,240.25,0,0,0,29.62,0
 96-106,0,0,0.6,0,19.8,0,0,2.47,3.12,4.68,0,3.85,179.34,0,0,0,7.08,0
108-118,0,0,0.89,0,27.1,1.9,0,9.21,0,10.45,0,3.29,300.21,0,0,0,1.73,0
120,0,0,5.65,0,22.16,0,0,0,0,11.32,0,4.09,437.49,0,0,0,10.33,0
