stage,axial,blastomeres,epidermis,eye,fin_epithelia,fin_mesenchyme,glial,hatching_gland,heart,ionocyte,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,pronephros,spinal_cord,vasculature,visceral_smooth_muscle
  3-4,46.16,407.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.29,0,0,0,0,0
  5-6,62.1,615.87,0,0,0,0,0,0,0,0,0,0,0,0,0,16.75,0,0,0,15.47,0,0,0,0,0,0
  7-9,18.06,0,0,4.7,0,0,0,22.42,0,0,0,0,0,0,0,209.58,4.52,0,0,53.67,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,21.39,0,0,0,0,0,0,0,59.11,5.33,0,0,8.84,0,26.4,0,0,0,0
 14-21,0,0,1.01,0,0,0,0,0.92,0,0,0,3.14,0,0,0.99,0.81,0.82,0,0,0,0,0,0,1.29,0,0
 24-34,0,0,0.59,0.72,0,0,0,0,0,0,0,0.74,0,0,0,7.03,0,1.94,1.4,0,6.26,0,0,1.03,0.62,0
 36-46,0,0,0,0,0,0,0,0,0,1.21,0,0,0,1.73,0,4.78,0,0,0,0,0,0,0.88,0.81,0,0
 48-58,0,0,0,1.26,0.62,0.42,0,0,0,0,0,0,0,0,0,10.52,0,0,0,0,2.08,0.65,0,0.96,0,0
 60-70,0,0,0,3.37,0,0,0,0,0,0,0,2.73,0,0,0,2.69,0,0,0,0,2.47,0,0,0,0,0
 72-82,0,0,0,1.78,0,0,0.71,0.55,0,0,0,0,0,0,0,18.88,0,0,0,0,6.44,0,0,1.65,0.57,1.51
 84-94,0,0,0.7,6.22,0,0,2.17,0,0,0,1.84,4.31,0,0,0,6.2,5.65,0,1.36,0,9.07,0,0,7.44,3.29,0
 96-106,0,0,2.34,3.72,0,1.21,0,0,0,0,0,0,0,0,0,30.83,1.37,0,0,0,23.44,0,0,7.26,0,0
108-118,0,0,0.47,2.67,0.7,0,0,0,0,0,0,1.96,0.88,0,0,11.35,0,0,0,0,18.77,0,0,0,0,0
120,0,0,2.29,4.61,0,0,0,0,4.83,0,0,0,0,0,0,19.74,0,0,0,0,8.35,0,0,0,0,0
