stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,0,7.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,3.42,0,0,0,0,0,0,0,0,0,0,0,16.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,9.09,0,0,0,0,0,0,0,0,0,0,0,233.36,0,0,0,0,0,0,0,0,0,0,0,181.98,8.31,0,0,39.77,0,0,0,4.78,0,0,3.51,0,0,0,0,0
 14-21,0,0,8.25,0,13.71,43.59,0,2.09,0,0,0,35.97,0.92,120.38,3.22,0,0.95,0,0,0,0,1.81,0,0,0,520.82,1.96,19.58,58.37,0,0,0,3.03,7.08,74.57,40.69,403.46,0,0,14.84,0,0
 24-34,0,0,10.82,5.22,5.73,6.08,0,21.25,0.72,0,0,57.44,0.73,10.73,26.08,0,3.18,0,2.91,0,0,7.04,6.24,0,1.98,2629.47,0,149.37,105.8,0,2.44,0,0,17.5,3.67,0,804.59,0,0,60.85,0,0
 36-46,0,0,7.05,0,9.46,1.18,0,94.93,3.91,0,0,74.4,1.29,0.68,5.49,0,0,0,30.09,0,0,6.67,6.8,0,0.59,4035.21,0,111.03,71.2,0,0,0,0,7.09,3.42,0,909.63,0,0,14.52,0,0
 48-58,0,0,4.02,0,10.49,0,0,443.47,0.85,0,0,150,0.38,0,12.79,0,0,0,12.44,0.43,0,24.8,6.28,3.65,3.66,6488.79,5.89,107.37,83.46,0,11.01,0,0,5.59,0,0,961.89,0,0,18.63,0,0.63
 60-70,0,0,1.79,0,11.07,4.71,0,1195.08,0.56,0,0,122.41,9.76,0,23.9,1.1,0,0,33.7,0,0,22.33,7.36,0,1.97,6144.22,1.36,136.7,161.63,0,0.68,0,0,2.75,0,0,736.7,2.51,0.8,17.17,0.89,1.44
 72-82,0,0,15.19,0,31.24,20.7,1.77,2318.44,9,0.55,2.57,164.11,10.94,0.55,21.31,2.43,0,1.59,73.5,2.43,0.64,36.12,8.6,5.83,12.83,7955.49,0,210.76,346.11,1.13,31.03,0,0,3.75,0,0,556.97,10.84,1.92,29.44,0.79,0
 84-94,0,0,25.05,0,20.91,0,2.49,1567.88,0.56,0.58,0.94,160.84,30.01,0.6,27.16,0.64,1.3,4.72,120.39,0.83,0,31.99,14.37,0,11.84,4811.26,0,188.49,585.45,0,9.72,0,0,5.55,0,0,289.17,15.18,0,34.85,1.2,2.77
 96-106,0,0,17.96,0,48.48,33.95,2.61,1422.78,2.47,6.52,9.83,162.55,21.42,0,51.58,6.9,1.97,0.75,229.18,10.05,0,60.04,14.74,5.11,38.43,4706.24,0,354.9,797.2,0,11.4,4.74,0,3.74,0,0,173.56,14.52,1.22,38.35,3.34,8.29
108-118,0,0,8.57,0.42,26.34,1.91,12.23,1442,0,1.19,1.86,133.79,20.53,0,33.23,6.47,2.04,0,152.22,4.4,0,39.63,12.18,1.5,62.17,5350.4,1.11,218.94,755.7,0,8.65,0,0,2.84,0.94,0,135.22,4.79,0,37.94,0,0
120,2.82,0,16.1,0,71.55,1.71,9.33,759.24,1.14,2.28,0,103.66,11.16,0,28.6,0,1.72,0,138.28,0,0,41.81,2.91,17.89,60.44,4915.86,0,161.89,691.63,0,15.04,0,0,6.86,0,0,82.32,3.26,0,104.81,0,0
