stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_mesenchyme,glial,gut,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,27.8,235.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,169.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.78,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,1.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.52,0,0,0,0,0,0,28.89,0,0,0,0,0
 24-34,0,0,0,2.28,1.38,0,1.42,0,0,0,0,0,0,0,0,0,0,5.71,0,0,0,221.13,0,14.72,0,0,0.62,0.6,176.05,0,0,0,0,0
 36-46,0,0,0,0,0,0,10.51,0,0,3.54,0,0,0,0,0,0,0,0,0,0,0,509.66,0,7.82,2.57,0,0,0,314.21,0,0,0,0,0
 48-58,0,0,0,0,6.46,0,17.72,0,2.84,18.99,0,0,2,0,2.17,0,7.05,2.08,0,0,0,801.85,3.13,8.47,2.16,0,0.69,0,374.54,0,0,1.11,0,4.71
 60-70,0,0,0,0,0.69,0,207.98,0,0,66.75,1.25,0,6.32,9.62,0.64,0.72,9.95,9.95,0,0,0,1210.95,0,16.88,0,0,0,0,350.54,0,0,0.84,0,0
 72-82,0,0,0.64,0,3.53,0.9,365.61,0,1.23,139.94,2.53,0,0,0,1.44,0,0,6.69,0,4.84,0,1674.84,0,24.21,13.73,0,1.48,0,216.36,0,0,4.08,2.08,0
 84-94,0,0,1.26,0,11.8,0,291.23,0,0.89,108.92,0,0,4.31,0.71,2.57,0,0,1.02,0,0,0,1064.88,0.64,9.52,2.39,0,0,0,91.34,0,1.64,0,7.5,0
 96-106,0,0,0,0,0,0,452.88,2.33,6.62,110.41,3.26,0,4.62,0,6.84,1.99,0,22.99,0.71,1.06,0,1137.55,0.65,15.63,9.16,0,2.65,0,92.09,0,1.74,3.62,4.9,0
108-118,0,0,0,0,9.56,0,368.37,0,0.94,111.05,2.6,0.44,3.76,5.15,1.31,0,0,3.65,0,0,0.42,871.73,0.47,10.04,10.93,0,1.2,0,29.47,0.68,0,0,8.72,1.25
120,0,0,0,0,14.59,1.26,416.58,1.01,5.21,161.43,0,0,0,0,0,0,0,16.97,1.56,0,3.33,1825.8,1.38,25.35,29.69,19.84,0,0,181.78,0,0,1.1,0,0
