stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,23.24,98.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,179.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,6.61,0,0,4.01,0,0,14.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69.64,0,0,0,41.56,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,11.43,0,0,11.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91.07,8.68,0,0,18.96,0,0,21.03,0,0,0,0,0,0,0,0
 14-21,0,0,3.71,0,3.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.97,0,0,1.03,79.71,0,2.43,0,0.87,0,1.31,1.26,2.83,1.77,32.41,0,0,0,0,0
 24-34,0,0,4.47,0.71,4.44,0,9.07,0,0,0,0.63,0,0,0,0,0,0,0,0,6.93,0,0.91,0.94,1009.66,0,35.05,2.66,0,0,8.27,0,0,0.75,182.19,0,0,5.34,0,0
 36-46,0,0,0,0,21.02,0,35.94,0,0,1.73,9.31,0,0,0,0,0,0,0,0,14.91,0,0,13.93,3062.71,0,52.02,0,0,0,3.75,0.91,0,0,324.91,0,0,4.58,0,0
 48-58,0,0,0,0,14.05,0,242.58,0.84,0.87,0.44,24.47,0.41,0.78,0,0,8.16,0,0,0,39.63,0,0,5.68,5138.72,1.83,31.28,9.68,0,0,2.53,0,0,0,479.8,0,0,8.26,0,3.98
 60-70,0,0,0.91,0,8.73,0.7,875.25,0,0,4.78,17.12,5.53,0,2.66,1.79,14.87,5.43,0,9.3,73.72,0,12.57,1.68,8455.89,0,37.93,0,0,2.07,13.99,0,0,0,715.71,0,2.6,8.6,0,21.62
 72-82,0,0,1.15,0,25.1,6.69,1341.76,0,0,7.14,67.07,4.97,2.27,4.21,0,0,0.82,0,0,91.93,0.95,0,1.28,9111.91,0,51.86,1.16,0,0,8.77,0,0,0,540.27,5.14,2.71,2.3,3.63,12.9
 84-94,0,0,0.85,0,44.54,21.48,973.29,0.68,2.2,8.66,74.58,0,1.27,5.22,0,12.67,3.08,4.6,0,74.03,3.24,10.56,1.52,5627.43,1.75,30.04,3.96,0,0,5.54,0,0,0,460.53,0.9,0.88,3.82,2.85,3.53
 96-106,0,0,2.07,0,30.1,37.56,837.33,1.98,2.91,4.77,62.71,3.11,2.64,1.28,0.92,1.64,1.87,0,0,68.01,0.6,1.41,1.94,4213.4,1.87,65.4,1.15,0,0,21.77,3.82,0,0,128.41,0,1.15,12.25,0.61,6.71
108-118,0,0,0,0,51.36,6.23,808.95,0,0,3.24,51.3,0.58,0,6.37,0.81,0.42,0,0.56,0,79.84,0,0,10.86,4683.71,0.8,55.51,0.53,0,0,2.76,0,0,0,119.33,0.68,0.82,1.11,0,0
120,0,0,2.94,0,48.11,7.26,742.24,0,2.95,0,116.29,5.52,0,4.74,4.15,0,2.98,0,0,48.97,0,10.15,5.12,7388.63,0,46.73,3.63,0,0,16.27,0,0,0,86.9,0,0,8.92,8.01,0
