stage,epidermis,erythrocytes,eye,glial,gut,mesenchyme,muscle,neural,pericytes,periderm,slow_muscle,spinal_cord,vascular_smooth_muscle,vasculature
 14-21,0,0,0,0,0,2.23,0,5.63,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,1.91,0,0,0,5.83,0,0
 36-46,0,0,0,0,0,19.16,0,10.16,1.69,0,0,7.2,0,0
 48-58,0,0,9.47,0,0,91.02,0,1.07,0,0,0,0,0,0
 60-70,4.85,0,9.8,0,0,72.75,0,2.89,0.84,0,0,3.44,0,0
 72-82,0,0,4.09,10.76,0,90.23,0,14.9,0,0,0,0,0,52.79
 84-94,0,0,7.1,0.57,0,186.4,0.67,0,0,0,0,0.95,0,7.36
 96-106,0,0,10.46,11.77,0,269.83,4.26,14.5,0,0,0,0,1.72,115.97
108-118,0,1.04,0,12.15,0,166.13,0,12.79,2.1,0.56,0.41,0,1.74,40.94
120,0,0,0,3.86,1.92,94.59,0,19.41,0,0,0,0,2.2,110.27
