stage,epidermis,liver,mesenchyme,neural,periderm
 14-21,5.33,0,0,0,0
 24-34,0,0,0,0.62,0.66
 48-58,0,1.45,0.47,0,0
 96-106,0,0,0,0,2.23
108-118,0,0,0,0,0.63
