stage,epidermis,eye,fin_mesenchyme,glial,gut,heart,lateral_line,mesenchyme,muscle,neural,periderm,presomitic_mesoderm,pronephros,spinal_cord,vasculature
  7-9,0,0,0,0,0,0,0,0,0,15.66,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,11.58,0,0,0,0,0
 14-21,4.84,0.97,0,0,0,0,0,1.56,0,6.91,0,1.6,0,1.08,0
 24-34,1.65,0.65,0,0,0,0,0,1.6,0,10.32,0,0,0.65,0,0
 36-46,0,0.61,0,0.83,0,0,0,2.04,0,14.71,0,0,0,1.48,1.58
 48-58,0,0.72,0,0,0,0,0.41,0.38,0,6.67,0,0,0,0,0
 60-70,2.94,2.03,0,7.01,0,0,0,0,0,6.31,0,0,0,1.18,8.53
 72-82,0,10.82,0.77,2.92,0,0,0,2.74,0,5.42,0.58,0,0,0,1.09
 84-94,0,0,0,0,0,0,0,1.21,0,1.75,0,0,0,0,0
 96-106,0,0,0,0,0,0.78,0,0,0,6.19,0,0,0,0,0
108-118,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0
120,0,0,0,0,2.35,0,0,0,2.2,2.33,0,0,0,0,0
