stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mural_cell,muscle,neural,olfactory,otic,pericytes,periderm,pronephros,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  3-4,11.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,2.41,0,2.44,0,0,0.82,0,0,0,0.84,0,0,0,0,0,16.85,0,0,0,33.1,4.6,0,0,0,0,29.65,0,0,0,0
 24-34,0,2.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.45,0,0.88,347.02,21.17,0.69,0,3.89,2.06,65.26,0,0,0,0
 36-46,0,0,0,0,0,0,5.6,0,0,0.58,3.35,0,0,0,0,3.34,0,2.27,0,0,671.24,25.6,0,0,0,0,113.34,0,0,0,0
 48-58,0,0,0,3.77,0,0,30.48,0,0,0,10.97,0,0,0,0,0,0,7.18,0,2.74,887.75,26.61,1.71,0,6.29,0,86.43,0,0,0,0.63
 60-70,0,0.86,0,1.15,0,0,91.77,0,0,0,15.23,1.23,1.73,0,0,2.72,0,2.93,0,1.47,1819.9,31.34,4.31,0,0.82,0,128.62,0,0,0,0
 72-82,0,8.28,0,5.99,1.37,0,149.99,1.1,0,2.57,46.19,3.3,10.18,0,0,0,0,21.4,2.24,3.49,2348.19,54.25,2.33,0,6.57,0.57,103.54,0,0,0,3.74
 84-94,0,18.44,0,3.65,1.55,0,158.44,0,0,0,24.47,1.31,6.33,0,0,0,0,4.17,0,4.14,1694.74,31.36,9.92,1.59,6.4,0,59.83,0,0,1.13,0
 96-106,0,4.32,0,2.78,0,0.62,134.21,0,0,0,49.05,2.31,19.25,0.56,0,0,12.56,13.74,0,1.66,1658.99,67.55,7.22,0,7.77,0,51.35,0,3.8,0.61,5.74
108-118,0,5.48,0.59,11.57,0,0,132.38,0,0.42,0,29.44,1.27,15.75,0.47,0.42,0,0,20.56,0,0.53,1867.79,61.69,1.84,1.05,0,0.61,28.03,0,0,0,0
120,0,0,0,2.08,0,0,117.22,0,1.11,0,16.19,0,42.14,0,3.19,1.54,0,41.92,0,4.46,2182.91,49.84,3.49,0,2.45,0,50.05,7.52,0,0,0
