stage,epidermis,erythrocytes,exocrine_pancreas,eye,glial,mesenchyme,muscle,neural,notochord,periderm,slow_muscle,spinal_cord,vasculature
  5-6,0,0,0,0,0,0,0,0,11.17,0,0,0,0
  7-9,0,0,0,0,0,0,0,13.69,0,0,0,0,0
 14-21,0,0,0,0,0,0,0.82,2.2,0,0,0,0,0
 36-46,0,0.67,0,0.9,0.96,0,0,0,0,0,0,1.82,1.18
 48-58,0,0,0,0,0,0,0,1.45,0,0,0,0,0
 60-70,0,0,0,0.84,0.65,0,0,0,0,0,0,1.17,0
 72-82,0,0,0.7,0,0,0,0,0,0,0,2.89,0,0
 84-94,0,0,0,3.17,0,0.77,0,0,0,0.67,0,0,0
 96-106,0.59,0,3.85,0,0,0,0,1.79,0,0,0,0,2.26
108-118,0,0,11.96,0,0.53,0,0,5.5,0,0,0,0,0
120,0,0,7.86,0,0,0,0,1.62,0,0,0,0,0
