stage,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,iridophores,mesenchyme,muscle,neural,notochord,periderm,spinal_cord,taste,vasculature,xanthophores
 14-21,0.87,0,0,0,0,0,0,0,0,1.11,0,0.81,0.94,0,1,0,0,0
 24-34,0,0,0,1.29,0,0,0,0,0,0.69,0,4.88,0,0,0,0,1.32,0
 36-46,0,0,0,1.83,0,0,0,0,0,0,0.64,11.64,0,0,1.97,0,0,0
 48-58,0.39,0,0,45.51,0,0.47,0,0,0,0,0,12.81,0,0,0.61,0,0,0
 60-70,0,0,0,219.63,0,0,0,0,0,2,0,22.87,0,0,0,0,0,0
 72-82,0,5.54,0,190.03,0,3.54,5.7,0,0,0,0,8.06,0,0,0,0,0,4.7
 84-94,0,0,0,176.48,0,1.1,2.24,0,0,1.7,0,1.11,0,1.59,0,0,0,0
 96-106,0,0,0,110.73,0,4.56,1.67,0.69,0.66,1.09,0,13.89,0,1.59,2.67,0,0,0
108-118,0,0,0.49,80.26,0,0,0,1.11,1.02,2.86,0,6.95,0,1.41,0,0.6,0,0
120,0,0,0,167.56,3.55,0,0,4.22,0,6.49,0,13.79,0,0,5.23,0,0,0
