stage,axial,blastomeres,endocrine_pancreas,epidermis,eye,fast_muscle,fin_mesenchyme,glial,heart,immune,iridophores,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  3-4,0,10.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.8,74.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.75,0,0,0,0,0,0,0,0,0,0,0,0,0,37.52,6.46,0,0,22.06,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.09,0,0,0,62.45,0,0,7.01,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,2.78,0,0,0,0,0,4.63,7.05,0,0,0,0,0,7.4,0,1.23,6.27,8.37,0,0,0
 24-34,0,0,0,0.76,1.19,0,0,5.38,0,0,0,3.43,0,2.12,33.51,0,3.71,0.69,0,0,0,0,0,6.19,15.53,0,5.48,0
 36-46,0,0,0,0,6.86,0,2.8,4.09,0.93,0,0,17.98,0.8,5.77,130.45,0,3.12,0,0,2.85,0,0,0,0,36.76,0,4.32,0
 48-58,0,0,0,1.83,49.36,0,0,16,0,0,0,15.38,0.72,5.81,143.82,0,1.77,0,0,0,0,0,0,0,55.8,0,8.34,0
 60-70,0,0,0,0,82.23,0,2.42,11.92,0,0,0,31.12,1.4,1.55,156.16,0,1.42,0,0,0,0,0,0.62,0,33.34,0,4.12,0
 72-82,0,0,0.71,0.95,116.93,0,0.5,30.35,2.41,0,0,36.28,0.9,2.51,192.47,0,2.8,0,0,0,0,0,0,0,25.38,0,10.76,0
 84-94,0,0,0,1.22,67.46,1,1.59,18.58,0,0,0,37.71,7.51,3.4,152.19,0,0.8,0,0,2.93,0,0,0,0,8.34,0,8.2,5.51
 96-106,0,0,0,0,105.03,0,1.4,33.99,3.87,0.58,1.05,23.69,0,3.43,155.27,0,14.45,0,0,0,0,0,0,0,4.32,2.38,6.42,1.8
108-118,0,0,0,0,65.43,0,0.74,8.13,0.69,0,1.67,54.88,2.55,5.49,131.69,0,8.07,5.21,0,2.46,0,0.41,0,0,2.56,1.37,19.22,0.87
120,0,0,4.32,3.24,54.58,0,0,27.67,0,0,0,69.08,15.55,0,376.79,0,2.72,0,0,13.66,0,0,0,0,18.49,1.46,22.67,0
