stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,33.8,318.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,88.46,599.98,0,0,0,0,0,0,0,0,0,0,8.74,0,0,0,0,0,0,0,0,0,0,0,19.22,0,0,0,0,0,17.51,0,0,0,0,0,0,0,0,0,0,0
  7-9,4.71,35.77,15.9,0,0,0,28.41,0,0,0,0,0,13.38,0,0,0,0,0,0,0,0,0,0,0,321.1,23.46,0,0,120.89,0,3.37,5.28,0,0,0,0,0,0,0,0,0,0
 10-12,0,24.24,28.61,0,0,0,35.62,0,0,0,0,0,35.64,0,0,0,0,0,0,0,0,0,0,0,851.29,14.22,0,0,150.21,0,0,5.95,0,0,0,4.75,10.41,0,0,0,0,0
 14-21,0,0,14.29,642.14,5.84,0,75.91,0,0,0,4.69,5.4,0,0,0,3.23,0,1.55,0,3.5,88.52,0,0,35.04,329.49,34.27,0,9.06,24.44,0,16.09,0,68.86,13.98,71.59,80.17,82.51,0,0,2.62,0,1.17
 24-34,0,0,5.81,378.79,3.04,0,79.26,36.02,8.45,0.78,7.67,6.59,0,10.64,0,10.19,0,7.37,1.95,18.16,316.2,3.03,0,104.13,470.11,40.63,3.53,5.19,0,0.99,64.1,0,2.66,19.59,151.43,31.32,57.14,0,0,27.49,0,24.38
 36-46,0,0,1.21,197.61,1.22,0,76.81,70.5,20.53,7.26,38.22,3.83,0,10.83,0,6.21,5,5.47,11.32,47.02,353.43,1.64,7.84,112.26,281.71,10.93,3.67,3.47,0,0,56.97,0.81,0,10.21,135.03,6.28,49.04,0,0,11.19,0,6.89
 48-58,0,0,0.91,150.42,0,0,90.47,44.83,34.34,28.93,27.6,9.5,0,2.82,0,8.88,6.64,1.3,2.52,9.44,335.71,2.25,13.61,67.96,260.81,16.57,0,7.38,0,0,37.8,0,0,4.5,110.07,0,28.58,0,1.34,3.26,0,30.59
 60-70,0.81,0,0,116.31,0,0,87.14,18.39,23.58,24.53,19.03,2.54,0,1.17,0,21.31,0,1.59,8.23,2.87,261.63,3.19,18.31,38.3,184.58,1.71,1.19,1.03,0,1.19,40.61,0,0,6.96,42.38,0,31.57,0,3.58,4.23,1.71,7.73
 72-82,0,0,0,66.19,4.52,0,60.69,12.33,11.36,29.14,31.13,6.45,0,1.59,0,2.91,0.49,2.65,3.27,0.64,324.88,0,6.91,50.53,163.8,1.46,0.56,10.6,0,5.5,13.26,0,0,0.56,15.68,0,16.72,0.5,3.78,9.43,4.52,15.14
 84-94,0,0,0,105.81,9.86,1.4,91.41,16.66,20.88,24.16,30.16,21.14,0,4.8,0.93,12.29,8.93,2.59,10.84,16.15,332.96,5.05,16.89,59.74,153.05,3.44,1.87,12.5,0,3.19,37.78,0,0,12.43,44.06,0,4.71,3.39,17.05,11.7,10.27,15.71
 96-106,0,0,0,70.69,8.38,0,60.23,10.87,4.63,36.57,42.06,5.53,0,1.39,0.68,9.74,3.6,5.6,3.14,0,274.88,0,4.1,39.44,109.48,2.73,1.47,4.3,0,3.05,28.11,0,0,2.88,27.48,0,3.21,0,9.06,7.79,14.09,9.49
108-118,0,0,0,114.08,2.26,0.43,69.84,11,24.55,21.9,50.17,5.33,0,5.08,0,11.11,1.78,6.92,8.87,13.06,321.33,0.46,4.42,46.09,169.74,3.86,0.53,22.75,0,3.48,21.92,0.79,0,3.72,27.29,0,5.68,0,3.49,4.78,8.12,1.59
120,0,0,0,65.74,0,0,52.19,27.83,12.21,13.19,35.64,7.49,0,1.85,4.58,5.24,1.05,3.82,0,0,129.39,1.15,4.29,41.61,224.17,8.33,0,2.59,0,0,14.1,0,0,2.56,5.07,0,4.23,0,0,14.76,5.15,4.4
