stage,epidermis,eye,fast_muscle,fin_mesenchyme,glial,melanocytes,mesenchyme,neural,pericytes,spinal_cord,vasculature
 14-21,0,0,0,0,0,0,0,0,0,0.82,0
 24-34,0,0,0,0.9,0,0,0,8.79,0,4.14,0
 36-46,0,1.05,0,0,0,0,0.91,24.2,0,2.06,0
 48-58,0,8.2,0.58,0,2.4,0,3.51,50.64,0,8.44,1.04
 60-70,0,17.03,0,0,2.36,0,3.66,33.14,0,5.98,0.58
 72-82,0,14.51,0,0,2.93,0,0.7,39.14,0,2.79,0
 84-94,1.26,17.64,0,0,0,0.71,4.91,14.53,0,0,0
 96-106,0,1.5,0,0,0,0,0,20.56,3.88,0.6,0
108-118,0,4.2,0,0,0.96,0,1.36,6.72,0,1.53,2.19
120,0,0,0,0,2.03,0,4.45,15.11,0,0,0
